CellID	x	y	geneID	MIDCount
1714	4511	5475	Slc51a	1.0
1714	4489	5397	Slc51a	1.0
1714	4513	5470	Slc51a	1.0
1714	4568	5446	Slc51a	1.0
1714	4520	5476	Slc51a	1.0
1714	4545	5456	Slc51a	1.0
1714	4573	5441	Slc51a	1.0
1714	4560	5454	Slc51a	1.0
1714	4573	5456	Slc51a	1.0
1714	4585	5463	Slc51a	1.0
1714	4553	5407	Slc12a2	1.0
1714	4495	5440	Jaml	1.0
1714	4487	5428	Jaml	1.0
1714	4507	5390	Jaml	1.0
1714	4601	5392	Jaml	1.0
1714	4600	5394	Jaml	1.0
1714	4485	5404	Krt7	1.0
1714	4571	5408	Tspan13	1.0
1714	4502	5401	Tspan13	1.0
1714	4576	5395	Tspan13	1.0
1714	4582	5431	Sox4	1.0
1714	4614	5434	Sox4	1.0
1714	4496	5445	Sox4	1.0
1714	4585	5425	Sox4	1.0
1714	4605	5405	Sox4	1.0
1714	4542	5408	Rgs4	1.0
1714	4494	5433	Rgs4	1.0
1714	4554	5464	Etv1	1.0
1714	4540	5446	Etv1	1.0
1714	4535	5482	Nt5e	1.0
1714	4552	5465	Nt5e	1.0
1714	4511	5359	Neat1	1.0
1714	4570	5417	Nes	1.0
1714	4527	5450	Cd3d	1.0
1714	4556	5460	Cd3d	1.0
1714	4554	5469	Ifnar1	1.0
1714	4491	5437	Ifnar1	1.0
1714	4493	5391	Ifnar1	1.0
1714	4490	5436	Ifnar1	1.0
1714	4541	5459	Il10	1.0
1714	4553	5451	Trdc	1.0
1714	4519	5476	Trdc	1.0
1714	4538	5447	Cd27	1.0
1714	4557	5475	Cd27	1.0
1714	4597	5385	Sdc1	1.0
1714	4596	5386	Sdc1	1.0
1714	4596	5454	Sdc1	1.0
1714	4508	5467	Sdc1	1.0
1714	4553	5423	Cd34	1.0
1714	4552	5418	Cd34	1.0
1714	4584	5433	Cd34	1.0
1714	4572	5397	Cd34	1.0
1714	4584	5425	Cd34	1.0
1714	4543	5418	Cd34	1.0
1714	4491	5422	Cd34	1.0
1714	4517	5417	Cd34	1.0
1714	4547	5442	Ly6g	1.0
1714	4540	5475	Kit	1.0
1714	4576	5454	Kit	1.0
1714	4507	5396	H2-Eb1	1.0
1714	4512	5379	H2-Eb1	1.0
1714	4511	5392	H2-Eb1	1.0
1714	4599	5377	H2-Eb1	1.0
1714	4485	5382	H2-Eb1	1.0
1714	4496	5420	C1qb	1.0
1714	4500	5371	C1qb	1.0
1714	4600	5376	C1qb	1.0
1714	4516	5390	C1qb	1.0
1714	4500	5376	C1qb	1.0
1714	4503	5402	C1qb	1.0
1714	4602	5395	C1qb	1.0
1714	4498	5382	C1qb	1.0
1714	4498	5408	C1qb	1.0
1714	4497	5457	C1qc	1.0
1714	4478	5429	C1qc	1.0
1714	4488	5378	C1qc	1.0
1714	4496	5434	C1qc	1.0
1714	4599	5389	C1qc	1.0
1714	4490	5412	C1qc	1.0
1714	4484	5391	C1qc	1.0
1714	4487	5410	Cadm1	1.0
1714	4492	5370	Tnfrsf21	1.0
1714	4487	5376	Tnfrsf21	1.0
1714	4544	5421	Tnfrsf21	1.0
1714	4597	5382	Tnfrsf21	1.0
1714	4490	5367	Tnfrsf21	1.0
1714	4507	5395	Gpr31b	1.0
1714	4522	5448	Lpar1	1.0
1714	4593	5440	Lpar1	1.0
1714	4594	5450	Lpar1	1.0
1714	4547	5455	Lpar1	1.0
1714	4574	5453	Lpar1	1.0
1714	4503	5406	Lpar1	1.0
1714	4540	5438	Gpr34	1.0
1714	4494	5441	Ptger4	1.0
1714	4578	5442	Ptger4	1.0
1714	4600	5407	S1pr1	1.0
1714	4555	5412	S1pr1	1.0
1714	4602	5411	S1pr1	1.0
1714	4568	5430	S1pr1	1.0
1714	4544	5417	S1pr1	1.0
1714	4552	5423	S1pr1	1.0
1714	4499	5426	S1pr1	1.0
1714	4549	5410	S1pr1	1.0
1714	4569	5410	S1pr1	1.0
1714	4529	5469	S1pr2	1.0
1714	4544	5411	S1pr3	1.0
1714	4534	5480	S1pr4	1.0
1714	4578	5405	Tbxa2r	1.0
1714	4553	5403	Fzd6	1.0
1714	4552	5404	Fzd6	1.0
1714	4583	5452	Chrm2	1.0
1714	4481	5392	Hrh4	1.0
1714	4589	5410	Taar7a	1.0
1714	4547	5464	Taar7a	1.0
1714	4563	5463	Taar7a	1.0
1714	4531	5441	Glp2r	1.0
1714	4599	5439	Glp2r	1.0
1714	4536	5439	Glp2r	1.0
1714	4561	5391	Glp2r	1.0
1714	4604	5440	Glp2r	1.0
1714	4545	5466	Glp2r	1.0
1993	1630	2394	Txndc5	1.0
1993	1592	2362	Slc12a2	1.0
1954	1754	2184	Lrmp	1.0
1954	1733	2150	Tm4sf4	1.0
1954	1737	2183	Tm4sf4	1.0
1954	1747	2171	Tm4sf4	1.0
1954	1733	2160	Tm4sf4	1.0
1993	1621	2394	Tm4sf4	1.0
1993	1631	2396	Tm4sf4	1.0
1993	1626	2371	Tspan13	1.0
1954	1695	2181	Tspan13	1.0
1954	1757	2156	Rgs4	1.0
1954	1754	2139	Rgs4	1.0
1954	1740	2137	Scarb1	1.0
1954	1711	2173	Cnr1	1.0
1993	1615	2370	Etv1	1.0
1954	1736	2152	Maged2	1.0
1954	1758	2137	Gper1	1.0
1954	1757	2146	Gper1	1.0
1993	1612	2370	Neat1	1.0
1954	1756	2128	Neat1	1.0
1954	1708	2171	Stmn1	1.0
1993	1626	2392	Stmn1	1.0
1954	1697	2183	Stmn1	1.0
1954	1738	2197	Marcksl1	1.0
1993	1606	2369	Vim	1.0
1993	1586	2389	Acta2	1.0
1954	1776	2199	Thy1	1.0
1954	1762	2183	Elavl3	1.0
1954	1748	2177	Phox2b	1.0
1954	1761	2185	Phox2b	1.0
1954	1701	2181	Phox2b	1.0
1954	1749	2186	Phox2b	1.0
1954	1756	2171	Phox2b	1.0
1993	1622	2379	Phox2b	1.0
1954	1717	2176	S100b	1.0
1954	1767	2216	S100b	1.0
1993	1610	2383	S100b	1.0
1954	1753	2197	Nes	1.0
1993	1598	2375	Nes	1.0
1954	1776	2207	Icos	1.0
1993	1617	2380	H2-Eb1	1.0
1954	1744	2147	Vcan	1.0
1954	1760	2157	Vcan	1.0
1954	1692	2187	Cadm1	1.0
1954	1740	2152	Cadm1	1.0
1954	1752	2179	Cadm1	1.0
1954	1731	2130	Tnfrsf21	1.0
1954	1696	2186	Ffar3	1.0
1954	1709	2184	Ffar3	1.0
1954	1708	2184	Ffar3	1.0
1954	1713	2170	Lpar1	1.0
1954	1761	2202	Lpar1	2.0
