CellID	x	y	geneID	MIDCount
2011	1614	2088	Tm4sf4	1.0
2011	1614	2079	Rgs4	1.0
2011	1608	2116	Net1	1.0
2011	1642	2104	Marcksl1	1.0
2011	1625	2065	Vim	1.0
2011	1637	2118	Vim	1.0
2011	1586	2118	Acta2	1.0
2011	1589	2156	Acta2	1.0
2011	1616	2089	Elavl3	1.0
2011	1619	2097	Phox2b	1.0
2011	1622	2085	Phox2b	1.0
2011	1622	2122	Sox10	1.0
2011	1614	2138	S100b	1.0
2011	1599	2139	Itgam	1.0
2011	1582	2148	H2-Eb1	1.0
2011	1604	2126	H2-Eb1	1.0
2011	1578	2127	C1qb	1.0
2011	1579	2129	C1qc	1.0
2011	1584	2131	C1qc	1.0
2011	1626	2103	Cadm1	1.0
2011	1657	2095	Lpar1	1.0
2011	1607	2168	Lpar1	1.0
2011	1657	2104	Lpar1	1.0
2011	1634	2118	Lpar1	1.0
2011	1628	2115	S1pr3	1.0
2011	1635	2116	S1pr3	1.0
2011	1605	2135	Fzd7	1.0
2011	1632	2116	Smo	1.0
2011	1617	2098	Cckar	1.0
2011	1620	2093	Sstr1	1.0
2011	1617	2127	Sstr1	1.0
