CellID	x	y	geneID	MIDCount
2	1725	1922	Maoa	1.0
2	1753	1863	Maoa	1.0
2	1760	1865	Maoa	1.0
2	1751	1873	Maoa	1.0
2	1780	1844	Maoa	1.0
2	1735	1870	Maoa	1.0
2	1802	1843	Maoa	1.0
2	1788	1906	Maoa	1.0
2	1767	1898	Maoa	1.0
2	1780	1873	Txndc5	1.0
2	1745	1806	Txndc5	1.0
2	1755	1807	Txndc5	1.0
2	1683	1861	Klk1	1.0
2	1711	1863	Slc12a2	1.0
2	1733	1816	Slc12a2	1.0
2	1734	1813	Slc12a2	1.0
29	1707	1929	Avil	1.0
29	1716	1930	Avil	1.0
2	1743	1902	Avil	1.0
2	1765	1861	Avil	1.0
2	1717	1901	Avil	1.0
2	1724	1904	Avil	1.0
2	1726	1912	Avil	1.0
2	1740	1889	Avil	1.0
29	1751	1939	Avil	1.0
2	1772	1872	Avil	1.0
2	1759	1872	Avil	1.0
29	1770	1931	Avil	1.0
29	1720	1931	Avil	1.0
2	1724	1914	Avil	1.0
2	1733	1889	Avil	1.0
2	1740	1892	Avil	1.0
2	1745	1906	Avil	1.0
2	1780	1839	Avil	1.0
2	1736	1881	Avil	1.0
2	1771	1869	Avil	1.0
2	1778	1868	Avil	1.0
29	1742	1937	Avil	1.0
2	1743	1928	Avil	1.0
29	1741	1937	Avil	1.0
29	1741	1938	Avil	1.0
2	1754	1803	Trpm5	1.0
29	1712	1924	Tm4sf4	1.0
2	1733	1840	Tm4sf4	1.0
2	1715	1856	Tm4sf4	1.0
2	1751	1831	Tm4sf4	1.0
2	1766	1818	Tm4sf4	1.0
2	1714	1863	Tm4sf4	1.0
2	1800	1860	Tspan13	1.0
2	1755	1858	Tspan13	1.0
2	1727	1923	Tspan13	1.0
2	1749	1858	Tspan13	1.0
2	1786	1875	Rcor2	1.0
2	1776	1882	Sox4	1.0
2	1797	1856	Sox4	1.0
2	1744	1925	Sox4	1.0
2	1775	1906	Sox4	1.0
2	1731	1891	Sox4	1.0
29	1739	1933	Sox4	1.0
2	1739	1914	Sox4	1.0
2	1779	1843	Sox4	1.0
2	1786	1836	Sox4	1.0
2	1722	1917	Sox4	1.0
2	1726	1846	Rgs4	1.0
29	1694	1934	Rgs4	1.0
2	1768	1909	Rgs4	1.0
29	1679	1903	Rgs4	1.0
2	1688	1867	Rgs4	1.0
29	1723	1941	Rgs4	1.0
2	1706	1872	Rgs4	1.0
2	1794	1839	Rgs4	1.0
2	1718	1887	Rgs4	1.0
2	1724	1879	Rgs4	1.0
29	1719	1923	Scn3a	1.0
29	1682	1919	Scn3a	1.0
2	1698	1912	Scn3a	1.0
29	1705	1923	Scn3a	1.0
2	1721	1916	Scn3a	1.0
29	1755	1940	Scn3a	1.0
2	1754	1877	Scn3a	1.0
29	1696	1922	Scn3a	1.0
2	1723	1856	Scn3a	1.0
29	1768	1932	Scn3a	1.0
2	1794	1896	Scn3a	1.0
2	1726	1911	Scn3a	1.0
2	1786	1903	Scn3a	1.0
2	1693	1831	Cd44	1.0
2	1709	1825	Cd44	1.0
2	1704	1844	Cd44	1.0
2	1727	1823	Cd44	1.0
2	1797	1849	Scarb1	1.0
29	1752	1931	Scarb1	1.0
29	1712	1921	Cnr1	1.0
2	1721	1912	Cnr1	1.0
2	1727	1922	Cnr1	1.0
2	1738	1894	Cnr1	1.0
2	1749	1865	Cnr1	1.0
2	1750	1886	Cnr1	1.0
2	1763	1877	Cnr1	1.0
2	1778	1870	Cnr1	1.0
29	1708	1917	Cnr1	1.0
2	1735	1881	Cnr1	2.0
2	1734	1924	Cnr1	1.0
2	1744	1867	Cnr1	1.0
2	1755	1916	Cnr1	1.0
2	1755	1867	Cnr1	1.0
29	1767	1929	Cnr1	1.0
29	1725	1941	Cnr1	1.0
2	1731	1914	Cnr1	1.0
2	1735	1881	Cnr1	2.0
29	1743	1940	Cnr1	1.0
2	1746	1873	Cnr1	1.0
2	1747	1895	Cnr1	1.0
29	1749	1935	Cnr1	1.0
2	1752	1917	Cnr1	1.0
2	1756	1867	Cnr1	1.0
2	1768	1851	Cnr1	1.0
2	1732	1871	Cnr1	1.0
2	1736	1877	Cnr1	1.0
29	1737	1930	Cnr1	1.0
2	1739	1874	Cnr1	1.0
29	1742	1937	Cnr1	1.0
2	1742	1882	Cnr1	1.0
2	1755	1876	Cnr1	1.0
2	1772	1851	Cnr1	1.0
2	1774	1871	Cnr1	1.0
29	1679	1936	Cnr1	1.0
2	1716	1873	Cnr1	1.0
2	1731	1871	Cnr1	1.0
2	1732	1879	Cnr1	1.0
2	1738	1906	Cnr1	1.0
2	1739	1876	Cnr1	1.0
2	1755	1903	Cnr1	1.0
2	1762	1871	Cnr1	1.0
2	1770	1879	Cnr1	1.0
2	1731	1872	Cnr1	1.0
2	1736	1884	Cnr1	1.0
2	1757	1902	Cnr1	1.0
2	1676	1877	Etv1	1.0
29	1683	1919	Etv1	1.0
29	1691	1940	Etv1	1.0
2	1722	1852	Etv1	1.0
2	1768	1806	Etv1	1.0
29	1674	1892	Etv1	1.0
2	1703	1899	Etv1	1.0
2	1703	1873	Etv1	1.0
2	1706	1833	Etv1	1.0
2	1743	1811	Etv1	1.0
2	1754	1838	Etv1	1.0
2	1688	1902	Etv1	2.0
2	1702	1901	Etv1	1.0
2	1715	1855	Etv1	1.0
29	1685	1927	Etv1	1.0
2	1688	1902	Etv1	2.0
2	1714	1861	Etv1	1.0
2	1714	1902	Etv1	1.0
2	1737	1845	Etv1	1.0
29	1703	1925	Etv1	1.0
2	1711	1818	Maged2	1.0
2	1777	1844	Maged2	1.0
29	1672	1916	Maged2	1.0
29	1696	1916	Maged2	1.0
2	1747	1864	Maged2	1.0
2	1743	1890	Acsl1	1.0
2	1717	1798	Net1	1.0
2	1730	1823	Net1	1.0
