CellID	x	y	geneID	MIDCount
64	1780	6991	Maoa	1.0
102	1937	5835	Hmgb2	1.0
64	1789	7019	Hmgb2	1.0
64	1795	6997	Hmgb2	1.0
112	1834	6966	Cps1	1.0
64	1840	6974	Cps1	1.0
115	1874	7203	Cps1	1.0
115	1883	7185	Cps1	1.0
116	1907	6882	Cps1	1.0
64	1839	6981	Cps1	1.0
120	1895	6385	Cps1	1.0
115	1923	7189	Cps1	1.0
120	1939	6373	Cps1	1.0
122	1831	7049	Cps1	1.0
122	1815	7052	Cps1	1.0
122	1824	7044	Cps1	1.0
122	1832	7049	Cps1	1.0
64	1839	7021	Cps1	1.0
122	1842	7050	Cps1	1.0
122	1775	7033	Cps1	1.0
64	1786	6990	Cps1	1.0
64	1792	6993	Cps1	1.0
122	1796	7036	Cps1	1.0
64	1809	7010	Cps1	1.0
115	1903	7180	Cps1	1.0
122	1762	7053	Cps1	1.0
122	1786	7038	Cps1	1.0
122	1835	7034	Cps1	1.0
122	1838	7055	Cps1	1.0
115	1885	7184	Cps1	1.0
120	1915	6397	Cps1	1.0
122	1772	7059	Cps1	1.0
122	1777	7071	Cps1	1.0
115	1877	7164	Cps1	1.0
123	1896	6988	Cps1	1.0
122	1778	7086	Cps1	1.0
122	1794	7089	Cps1	1.0
122	1703	7006	Txndc5	1.0
122	1723	6993	Txndc5	1.0
122	1732	7002	Txndc5	1.0
64	1765	6965	Txndc5	1.0
64	1768	6946	Txndc5	1.0
122	1800	7078	Txndc5	1.0
64	1830	6970	Txndc5	1.0
115	1841	7144	Txndc5	1.0
115	1858	7104	Txndc5	1.0
123	1889	6973	Txndc5	1.0
122	1707	6999	Txndc5	1.0
122	1725	6991	Txndc5	1.0
64	1765	6950	Txndc5	1.0
64	1775	6936	Txndc5	1.0
122	1793	7051	Txndc5	1.0
122	1795	7038	Txndc5	1.0
122	1814	7057	Txndc5	1.0
115	1826	7113	Txndc5	1.0
112	1833	6930	Txndc5	1.0
112	1842	6958	Txndc5	1.0
64	1845	6982	Txndc5	1.0
112	1870	6932	Txndc5	1.0
120	1876	6329	Txndc5	1.0
112	1880	6881	Txndc5	1.0
115	1881	7174	Txndc5	1.0
123	1908	6976	Txndc5	1.0
123	1915	6973	Txndc5	1.0
123	1921	6964	Txndc5	1.0
152	1924	5746	Txndc5	1.0
152	1928	5735	Txndc5	1.0
