CellID	x	y	geneID	MIDCount
5216	4845	9145	Maoa	1.0
5216	4812	9163	Txndc5	1.0
5241	4799	9233	Lgr5	1.0
5216	4832	9196	Lgr5	1.0
5241	4756	9179	Lgr5	1.0
5241	4759	9175	Slc12a2	1.0
5216	4823	9184	Slc12a2	1.0
5241	4763	9211	Slc12a2	1.0
5241	4794	9247	Jaml	1.0
5241	4804	9241	Jaml	1.0
5241	4797	9241	Jaml	1.0
5241	4772	9215	Jaml	1.0
5216	4816	9209	Jaml	1.0
5216	4814	9242	Tspan13	1.0
5216	4794	9167	Tspan13	1.0
5216	4797	9230	Tspan13	1.0
5216	4786	9222	Tspan13	1.0
5216	4785	9222	Tspan13	1.0
5216	4829	9208	Tspan13	1.0
5216	4829	9191	Tspan13	1.0
5216	4789	9214	Tspan13	1.0
5216	4801	9229	Sox4	1.0
5216	4820	9205	Sox4	1.0
5216	4802	9155	Sox4	1.0
5216	4846	9130	Sox4	1.0
5216	4831	9183	Sox4	1.0
5216	4853	9138	Sox4	1.0
5216	4799	9166	Sox4	1.0
5216	4776	9190	Sox4	1.0
5216	4800	9176	Sox4	1.0
5241	4777	9150	Sox4	1.0
5216	4784	9193	Sox4	1.0
5216	4799	9193	Sox4	1.0
5241	4776	9151	Sox4	1.0
5216	4826	9197	Sox4	1.0
5216	4789	9174	Sox4	1.0
5241	4751	9183	Hhex	1.0
5216	4808	9120	Hhex	1.0
5216	4775	9183	Adgrf5	1.0
5216	4815	9191	Adgrf5	1.0
5216	4796	9233	Adgrf5	1.0
5216	4800	9227	Adgrf5	1.0
5216	4806	9168	Adgrf5	1.0
5216	4824	9185	Adgrf5	1.0
5216	4805	9127	Adgrf5	1.0
5216	4825	9206	Adgrf5	1.0
5216	4828	9188	Adgrf5	1.0
5241	4757	9192	Adgrf5	1.0
5241	4760	9183	Adgrf5	1.0
5216	4822	9154	Adgrf5	1.0
5216	4828	9179	Adgrf5	1.0
5216	4834	9154	Adgrf5	1.0
5241	4779	9231	Adgrf5	1.0
5216	4825	9128	Adgrf5	1.0
5216	4795	9138	Adgrf5	1.0
5216	4845	9144	Adgrf5	1.0
5216	4804	9131	Adgrf5	1.0
5216	4816	9151	Adgrf5	1.0
5216	4823	9130	Adgrf5	1.0
5216	4831	9126	Adgrf5	1.0
5241	4744	9195	Adgrf5	1.0
5216	4776	9169	Adgrf5	1.0
5216	4806	9133	Adgrf5	1.0
5216	4808	9192	Adgrf5	1.0
5216	4812	9171	Adgrf5	1.0
5216	4814	9188	Adgrf5	1.0
5216	4816	9150	Adgrf5	1.0
5216	4822	9130	Adgrf5	1.0
5216	4831	9156	Adgrf5	1.0
5216	4839	9175	Adgrf5	1.0
5241	4748	9197	Adgrf5	1.0
5241	4756	9198	Adgrf5	1.0
5216	4803	9125	Adgrf5	1.0
5216	4823	9123	Adgrf5	1.0
5216	4826	9137	Adgrf5	1.0
5216	4834	9177	Adgrf5	1.0
5216	4846	9127	Adgrf5	1.0
5241	4794	9246	Cd44	1.0
5216	4835	9216	Cd44	1.0
5216	4818	9247	Cd44	1.0
5216	4842	9131	Cd44	1.0
5216	4849	9132	Cd44	1.0
5216	4839	9233	Cd44	1.0
5241	4758	9178	Cd44	1.0
5216	4857	9145	Cd44	1.0
5241	4758	9154	Scarb1	1.0
5216	4827	9166	Scarb1	1.0
5216	4786	9168	Scarb1	1.0
5216	4797	9177	Scarb1	1.0
5241	4760	9191	Scarb1	1.0
5216	4789	9191	Scarb1	1.0
5216	4813	9186	Scarb1	1.0
5216	4817	9179	Scarb1	1.0
5241	4765	9213	Scarb1	1.0
5216	4781	9205	Scarb1	1.0
5216	4784	9190	Scarb1	1.0
5216	4792	9214	Scarb1	1.0
5216	4821	9219	Scarb1	1.0
5216	4792	9215	Scarb1	1.0
5216	4793	9226	Scarb1	1.0
5216	4821	9120	Scarb1	1.0
5216	4844	9166	Scarb1	1.0
5216	4792	9227	Scarb1	1.0
5216	4826	9135	Scarb1	1.0
5216	4840	9124	Scarb1	1.0
5216	4822	9227	Acsl1	1.0
5216	4791	9131	Acsl1	1.0
5216	4849	9182	Net1	1.0
5216	4864	9149	Net1	1.0
5216	4767	9172	Ccnl2	1.0
5241	4758	9200	Ccnl2	1.0
5216	4780	9146	Ccnl2	1.0
5216	4818	9136	Ccnl2	1.0
5216	4809	9147	Ada	1.0
5216	4866	9160	Ada	1.0
5216	4776	9170	Neat1	1.0
5216	4789	9182	Neat1	1.0
5216	4886	9164	Neat1	1.0
5216	4894	9183	Neat1	1.0
5241	4756	9196	Neat1	1.0
5241	4760	9204	Neat1	1.0
5216	4777	9152	Neat1	1.0
5216	4791	9147	Neat1	2.0
5216	4796	9189	Neat1	1.0
5216	4893	9182	Neat1	1.0
5216	4791	9147	Neat1	2.0
5216	4799	9195	Neat1	1.0
5216	4883	9161	Neat1	1.0
5216	4892	9155	Neat1	1.0
5241	4779	9138	Neat1	1.0
5241	4780	9233	Neat1	1.0
5216	4793	9211	Neat1	1.0
5216	4805	9178	Neat1	1.0
5241	4805	9242	Neat1	1.0
5216	4800	9138	Stmn1	1.0
5216	4805	9143	Stmn1	1.0
5216	4871	9231	Marcksl1	1.0
5241	4764	9205	Marcksl1	1.0
5241	4773	9226	Vim	1.0
5216	4820	9156	Vim	1.0
5216	4822	9172	Vim	1.0
5216	4828	9138	Vim	1.0
5216	4817	9239	Vim	1.0
5216	4822	9196	Vim	1.0
5216	4830	9197	Vim	1.0
5216	4841	9128	Vim	1.0
5216	4806	9128	Vim	1.0
5216	4841	9118	Vim	1.0
5241	4811	9250	Vim	1.0
5216	4818	9116	Vim	1.0
