CellID	x	y	geneID	MIDCount
213	1053	5981	Nt5e	1.0
213	1053	5982	Nt5e	1.0
213	1054	5980	Acta2	1.0
213	1071	5995	Acta2	1.0
213	1073	6001	Acta2	1.0
213	1053	5989	Acta2	1.0
213	1072	5990	Acta2	1.0
213	1079	5998	Acta2	1.0
213	1084	6016	Acta2	1.0
213	1045	5994	Acta2	1.0
213	1049	5986	Acta2	1.0
213	1054	5993	Acta2	1.0
213	1070	5992	Acta2	1.0
213	1075	5989	Acta2	1.0
213	1056	5997	Acta2	1.0
213	1089	6010	Acta2	1.0
213	1045	6003	Acta2	1.0
213	1052	6004	Acta2	1.0
213	1064	5999	Acta2	1.0
213	1061	5978	Lpar6	1.0
213	1053	6005	Fzd1	1.0
213	1045	5991	Fzd2	1.0
213	1078	5998	Chrm2	1.0
213	1046	5985	Chrm2	1.0
213	1045	6005	Chrm2	1.0
213	1043	6003	Chrm2	1.0
213	1045	6004	Chrm2	1.0
242	2878	6689	Slc51a	1.0
258	2958	6342	Slc51a	1.0
258	2970	6350	Slc51a	1.0
258	2982	6309	Slc51a	1.0
258	2995	6362	Slc51a	1.0
258	2999	6336	Slc51a	1.0
258	3011	6318	Slc51a	1.0
258	3010	6333	Slc51a	1.0
258	3013	6327	Slc51a	1.0
258	3015	6346	Slc51a	1.0
258	3022	6362	Slc51a	1.0
278	3066	6623	Slc51a	1.0
278	3073	6688	Slc51a	1.0
278	3093	6676	Slc51a	1.0
306	3137	6148	Slc51a	1.0
309	3144	5695	Slc51a	1.0
309	3146	5731	Slc51a	1.0
306	3147	6110	Slc51a	1.0
306	3164	6096	Slc51a	1.0
351	3258	6567	Slc51a	1.0
370	3312	6166	Slc51a	1.0
373	3326	6947	Slc51a	1.0
370	3339	6131	Slc51a	1.0
373	3341	6946	Slc51a	1.0
370	3344	6136	Slc51a	1.0
370	3347	6117	Slc51a	1.0
373	3352	6940	Slc51a	1.0
395	3369	6604	Slc51a	1.0
398	3373	6232	Slc51a	1.0
398	3379	6224	Slc51a	1.0
408	3393	5620	Slc51a	1.0
408	3402	5615	Slc51a	1.0
395	3421	6644	Slc51a	1.0
418	3425	6837	Slc51a	1.0
395	3429	6611	Slc51a	1.0
420	3432	5861	Slc51a	1.0
395	3437	6573	Slc51a	1.0
395	3445	6603	Slc51a	1.0
395	3446	6593	Slc51a	1.0
395	3455	6612	Slc51a	1.0
426	3455	7051	Slc51a	1.0
418	3464	6812	Slc51a	1.0
420	3465	5808	Slc51a	1.0
428	3467	7172	Slc51a	1.0
428	3468	7177	Slc51a	1.0
430	3473	6771	Slc51a	1.0
434	3479	7032	Slc51a	1.0
420	3483	5857	Slc51a	1.0
426	3486	7047	Slc51a	1.0
435	3487	7289	Slc51a	1.0
426	3498	7049	Slc51a	1.0
426	3502	7053	Slc51a	1.0
435	3508	7258	Slc51a	2.0
426	3511	7060	Slc51a	1.0
459	3566	7307	Slc51a	1.0
470	3589	6089	Slc51a	1.0
471	3589	6359	Slc51a	1.0
471	3594	6340	Slc51a	1.0
471	3609	6377	Slc51a	1.0
470	3612	6091	Slc51a	1.0
471	3613	6362	Slc51a	1.0
470	3616	6142	Slc51a	1.0
471	3623	6312	Slc51a	1.0
471	3626	6301	Slc51a	1.0
470	3630	6139	Slc51a	1.0
470	3652	6108	Slc51a	1.0
470	3652	6098	Slc51a	1.0
493	3668	7007	Slc51a	1.0
493	3670	7055	Slc51a	1.0
493	3676	7014	Slc51a	1.0
470	3681	6079	Slc51a	1.0
493	3684	7020	Slc51a	1.0
493	3708	7073	Slc51a	1.0
528	2772	5746	Slc51a	1.0
