CellID	x	y	geneID	MIDCount
281	3072	5720	Slc51a	1.0
400	3373	6683	Slc51a	1.0
400	3386	6678	Slc51a	1.0
400	3459	6673	Slc51a	1.0
457	3554	7292	Slc51a	1.0
457	3570	7261	Slc51a	1.0
457	3596	7279	Slc51a	1.0
467	3606	6280	Slc51a	1.0
477	3608	6466	Slc51a	1.0
477	3616	6419	Slc51a	1.0
477	3620	6491	Slc51a	1.0
477	3630	6520	Slc51a	1.0
477	3641	6500	Slc51a	1.0
487	3648	6201	Slc51a	2.0
487	3653	6190	Slc51a	1.0
467	3666	6267	Slc51a	1.0
491	3665	6808	Slc51a	1.0
497	3682	6907	Slc51a	1.0
497	3696	6898	Slc51a	1.0
491	3699	6813	Slc51a	1.0
497	3707	6898	Slc51a	1.0
497	3708	6887	Slc51a	1.0
497	3715	6865	Slc51a	1.0
497	3719	6879	Slc51a	1.0
497	3732	6883	Slc51a	1.0
497	3735	6871	Slc51a	1.0
497	3753	6888	Slc51a	1.0
526	2763	5964	Slc51a	1.0
281	3066	5722	Slc51a	1.0
281	3075	5721	Slc51a	1.0
555	3095	5750	Slc51a	1.0
555	3106	5759	Slc51a	1.0
555	3111	5756	Slc51a	1.0
555	3110	5786	Slc51a	1.0
555	3124	5767	Slc51a	1.0
555	3134	5801	Slc51a	1.0
568	3321	6696	Slc51a	1.0
573	3357	5876	Slc51a	1.0
576	3361	6957	Slc51a	1.0
576	3361	6968	Slc51a	1.0
400	3366	6689	Slc51a	1.0
576	3367	6959	Slc51a	1.0
576	3373	6920	Slc51a	1.0
576	3376	6928	Slc51a	1.0
573	3378	5847	Slc51a	1.0
576	3381	6917	Slc51a	1.0
576	3387	6936	Slc51a	1.0
400	3400	6670	Slc51a	1.0
400	3400	6763	Slc51a	1.0
400	3417	6647	Slc51a	1.0
477	3563	6451	Slc51a	1.0
457	3567	7270	Slc51a	1.0
457	3570	7284	Slc51a	1.0
457	3577	7263	Slc51a	1.0
477	3580	6384	Slc51a	1.0
477	3581	6438	Slc51a	1.0
457	3588	7282	Slc51a	1.0
477	3626	6507	Slc51a	1.0
467	3633	6255	Slc51a	1.0
491	3635	6774	Slc51a	1.0
487	3639	6201	Slc51a	1.0
467	3646	6269	Slc51a	1.0
487	3648	6201	Slc51a	2.0
491	3665	6809	Slc51a	1.0
467	3669	6277	Slc51a	1.0
491	3670	6806	Slc51a	1.0
467	3681	6258	Slc51a	1.0
497	3687	6911	Slc51a	1.0
497	3692	6902	Slc51a	1.0
497	3717	6894	Slc51a	2.0
497	3724	6892	Slc51a	1.0
