CellID	x	y	geneID	MIDCount
1443	4119	4504	Slc51a	1.0
1443	4135	4507	Slc51a	1.0
1617	4642	5096	Slc51a	1.0
1443	4131	4508	Slc51a	1.0
1443	4125	4504	Slc51a	1.0
1443	4138	4515	Slc51a	1.0
1443	4137	4518	Slc51a	1.0
1617	4639	5087	Slc51a	1.0
1617	4645	5085	Slc51a	1.0
1691	4942	5075	Slc51a	1.0
1443	4133	4520	Slc51a	1.0
1617	4638	5085	Slc51a	1.0
1617	4645	5098	Slc51a	1.0
1617	4619	5080	Slc51a	1.0
1617	4625	5091	Slc51a	1.0
1617	4636	5094	Slc51a	1.0
1617	4640	5082	Slc51a	1.0
1617	4644	5100	Slc51a	1.0
1691	4930	5094	Slc51a	1.0
1617	4634	5085	Slc51a	1.0
1617	4640	5092	Slc51a	1.0
1617	4660	5094	Slc51a	1.0
1691	4935	5089	Slc51a	1.0
1443	4123	4503	Maoa	1.0
1617	4635	5080	Maoa	1.0
1443	4128	4522	Maoa	1.0
1617	4647	5091	Maoa	1.0
1783	4613	4389	Hmgb2	1.0
1783	4625	4417	Hmgb2	1.0
1812	3783	5074	Txndc5	1.0
1812	3818	5042	Txndc5	1.0
1812	3819	5070	Txndc5	1.0
1832	4289	5424	Txndc5	1.0
1832	4295	5431	Txndc5	1.0
1832	4296	5443	Txndc5	1.0
1832	4312	5394	Txndc5	1.0
1832	4322	5474	Txndc5	1.0
1832	4324	5431	Txndc5	1.0
1832	4325	5416	Txndc5	1.0
1832	4325	5463	Txndc5	1.0
1832	4329	5448	Txndc5	1.0
1832	4331	5436	Txndc5	1.0
1783	4565	4394	Txndc5	1.0
1783	4661	4316	Txndc5	1.0
1783	4675	4371	Txndc5	1.0
1691	4933	5092	Txndc5	1.0
1812	3778	5063	Txndc5	1.0
1812	3778	5053	Txndc5	1.0
1812	3779	4999	Txndc5	1.0
1812	3794	5067	Txndc5	1.0
1812	3818	5043	Txndc5	1.0
1812	3824	5045	Txndc5	1.0
1812	3838	5062	Txndc5	1.0
1832	4301	5430	Txndc5	1.0
1832	4301	5476	Txndc5	1.0
1832	4318	5407	Txndc5	1.0
1832	4317	5442	Txndc5	1.0
1832	4318	5458	Txndc5	1.0
1832	4325	5484	Txndc5	1.0
1832	4326	5465	Txndc5	1.0
1832	4330	5455	Txndc5	1.0
1832	4334	5449	Txndc5	1.0
1783	4558	4381	Txndc5	1.0
1691	4942	5087	Txndc5	1.0
1812	3780	5042	Txndc5	1.0
1832	4274	5464	Txndc5	1.0
1832	4299	5492	Txndc5	1.0
1832	4301	5478	Txndc5	1.0
1832	4302	5408	Txndc5	1.0
1832	4305	5469	Txndc5	1.0
1832	4309	5462	Txndc5	1.0
1832	4313	5417	Txndc5	1.0
1832	4328	5458	Txndc5	1.0
1832	4329	5469	Txndc5	1.0
1832	4328	5473	Txndc5	1.0
1832	4333	5419	Txndc5	1.0
1832	4335	5451	Txndc5	1.0
1783	4631	4398	Txndc5	1.0
1783	4636	4411	Txndc5	1.0
1783	4638	4406	Txndc5	1.0
1812	3790	4984	Txndc5	1.0
1864	3792	5207	Txndc5	1.0
1443	4117	4503	Txndc5	1.0
1832	4289	5412	Txndc5	1.0
1832	4302	5473	Txndc5	1.0
1832	4310	5457	Txndc5	1.0
1832	4320	5434	Txndc5	1.0
1832	4320	5451	Txndc5	1.0
1832	4322	5501	Txndc5	1.0
1832	4324	5442	Txndc5	1.0
1832	4327	5475	Txndc5	1.0
1783	4585	4372	Txndc5	1.0
1783	4589	4356	Txndc5	1.0
1783	4633	4400	Txndc5	1.0
1812	3790	4982	Txndc5	1.0
1443	4122	4518	Txndc5	1.0
1832	4291	5478	Txndc5	1.0
1832	4302	5406	Txndc5	1.0
1832	4313	5483	Txndc5	1.0
1832	4322	5452	Txndc5	1.0
1832	4324	5462	Txndc5	1.0
1832	4324	5476	Txndc5	1.0
1832	4327	5484	Txndc5	1.0
1783	4560	4364	Txndc5	1.0
1783	4573	4367	Txndc5	1.0
1783	4579	4361	Txndc5	1.0
1783	4605	4383	Txndc5	1.0
1783	4623	4382	Txndc5	1.0
1783	4629	4404	Txndc5	1.0
