CellID	x	y	geneID	MIDCount
180	1921	6447	Txndc5	1.0
180	1901	6452	Clca3b	1.0
189	1682	5755	Mptx2	1.0
189	1676	5749	Mptx2	1.0
188	1728	5648	Mptx2	1.0
201	1315	6188	Slc12a2	1.0
203	989	5900	Slc12a2	1.0
203	1011	5931	Slc12a2	1.0
201	1310	6183	Slc12a2	1.0
201	1321	6188	Slc12a2	1.0
201	1326	6219	Slc12a2	1.0
210	1058	5912	Slc12a2	1.0
210	1066	5912	Tspan13	1.0
197	1934	7345	Tspan13	1.0
210	1033	5888	Tspan13	1.0
210	1075	5915	Tspan13	1.0
214	1603	7314	Sox4	1.0
201	1320	6190	Sox4	1.0
214	1583	7302	Hhex	1.0
214	1604	7282	Hhex	1.0
214	1567	7256	Rgs4	1.0
214	1583	7299	Rgs4	1.0
214	1553	7250	Rgs4	1.0
214	1613	7271	Rgs4	1.0
214	1613	7272	Rgs4	1.0
214	1604	7304	Adgrf5	1.0
214	1578	7265	Adgrf5	1.0
214	1590	7260	Adgrf5	1.0
214	1591	7300	Adgrf5	1.0
214	1620	7287	Adgrf5	1.0
214	1571	7253	Adgrf5	1.0
214	1619	7289	Adgrf5	1.0
203	994	5893	Adgrf5	1.0
210	1056	5916	Cd44	1.0
210	1066	5921	Cd44	1.0
203	991	5940	Cd44	1.0
189	1724	5782	Cd44	1.0
214	1618	7265	Etv1	1.0
214	1618	7263	Etv1	1.0
203	1017	5918	Adgrd1	1.0
189	1736	5766	Adgrd1	1.0
188	1725	5618	Adgrd1	1.0
210	1036	5907	Adgrd1	1.0
189	1718	5706	Nt5e	1.0
189	1712	5763	Nt5e	1.0
189	1730	5729	Maged2	1.0
214	1613	7271	Maged2	1.0
189	1681	5684	Acsl1	1.0
214	1590	7300	Gper1	1.0
214	1566	7300	Net1	1.0
214	1583	7236	Net1	1.0
189	1681	5770	Net1	1.0
214	1583	7234	Net1	1.0
189	1696	5736	Net1	1.0
214	1562	7266	Net1	1.0
214	1592	7231	Net1	1.0
214	1616	7299	Net1	1.0
188	1688	5615	Net1	1.0
189	1707	5752	Net1	1.0
201	1311	6185	Net1	1.0
214	1619	7288	Net1	1.0
