CellID	x	y	geneID	MIDCount
91	1069	7102	Hmgb2	1.0
92	1104	6335	Hmgb2	1.0
99	1826	5718	Hmgb2	1.0
105	1744	5900	Hmgb2	1.0
110	1725	7428	Cps1	1.0
137	1770	7116	Txndc5	1.0
137	1780	7147	Txndc5	1.0
99	1809	5627	Txndc5	1.0
99	1825	5617	Txndc5	1.0
99	1827	5704	Txndc5	1.0
143	1937	5770	Txndc5	1.0
144	1939	6846	Txndc5	1.0
145	896	5954	Txndc5	1.0
91	976	7052	Txndc5	1.0
92	1075	6235	Txndc5	1.0
147	1470	6117	Txndc5	1.0
148	1517	7027	Txndc5	1.0
137	1742	7131	Txndc5	1.0
137	1749	7143	Txndc5	1.0
137	1762	7145	Txndc5	1.0
99	1815	5619	Txndc5	1.0
143	1919	5756	Txndc5	1.0
154	1941	5787	Txndc5	1.0
91	1012	7053	Txndc5	1.0
157	1439	6174	Txndc5	1.0
158	1585	5721	Txndc5	1.0
99	1743	5675	Txndc5	1.0
143	1921	5751	Txndc5	1.0
143	1925	5773	Txndc5	1.0
145	901	5930	Txndc5	1.0
145	911	5854	Txndc5	1.0
92	1068	6298	Txndc5	1.0
165	1221	6596	Txndc5	1.0
157	1423	6272	Txndc5	1.0
148	1544	6981	Txndc5	1.0
137	1727	7132	Txndc5	1.0
143	1926	5761	Txndc5	1.0
144	1928	6839	Txndc5	1.0
143	1935	5780	Txndc5	1.0
154	1940	5789	Txndc5	1.0
91	993	7096	Txndc5	1.0
157	1423	6258	Txndc5	1.0
148	1481	7003	Txndc5	1.0
137	1732	7131	Txndc5	1.0
137	1769	7116	Txndc5	1.0
137	1773	7135	Txndc5	1.0
154	1932	5789	Txndc5	1.0
143	1935	5782	Txndc5	1.0
143	1936	5757	Txndc5	1.0
143	1939	5738	Txndc5	1.0
143	1941	5766	Txndc5	1.0
176	1031	5828	Txndc5	1.0
91	1075	7098	Txndc5	1.0
92	1084	6271	Txndc5	1.0
137	1756	7125	Txndc5	1.0
137	1769	7140	Txndc5	1.0
143	1933	5783	Txndc5	1.0
177	807	7083	Txndc5	1.0
176	1029	5829	Txndc5	1.0
137	1739	7103	Txndc5	1.0
137	1778	7123	Txndc5	1.0
154	1926	5793	Txndc5	1.0
143	1933	5782	Txndc5	1.0
177	818	7077	Txndc5	1.0
183	1019	7198	Txndc5	1.0
137	1766	7133	Txndc5	1.0
184	759	7448	Txndc5	1.0
91	957	7057	Klk1	1.0
144	1932	6843	Klk1	1.0
137	1778	7162	Klk1	1.0
137	1733	7113	Mptx2	1.0
137	1735	7123	Mptx2	1.0
144	1917	6856	Mptx2	1.0
144	1924	6846	Mptx2	1.0
183	1031	7171	Mptx2	1.0
137	1721	7116	Mptx2	1.0
137	1722	7122	Mptx2	1.0
144	1939	6846	Mptx2	1.0
137	1722	7123	Mptx2	1.0
137	1733	7139	Mptx2	1.0
137	1743	7136	Mptx2	1.0
144	1927	6839	Mptx2	1.0
144	1929	6853	Mptx2	1.0
183	1036	7187	Mptx2	1.0
137	1740	7148	Mptx2	1.0
137	1774	7143	Mptx2	1.0
144	1928	6846	Mptx2	1.0
144	1936	6844	Mptx2	1.0
195	986	6068	Mptx2	1.0
137	1719	7107	Mptx2	1.0
99	1752	5753	Mptx2	1.0
144	1925	6847	Mptx2	1.0
144	1933	6846	Mptx2	1.0
144	1937	6850	Mptx2	1.0
137	1742	7145	Mptx2	1.0
99	1768	5664	Mptx2	1.0
144	1937	6852	Mptx2	1.0
193	1940	6361	Mptx2	1.0
195	972	6065	Mptx2	1.0
110	1717	7440	Mptx2	1.0
99	1768	5677	Mptx2	1.0
144	1936	6853	Mptx2	1.0
144	1938	6860	Mptx2	1.0
144	1940	6869	Mptx2	1.0
183	1049	7190	Mptx2	1.0
105	1730	5959	Mptx2	1.0
105	1789	5875	Mptx2	2.0
99	1804	5701	Mptx2	1.0
99	1816	5712	Mptx2	1.0
154	1941	5796	Mptx2	1.0
105	1701	5941	Mptx2	1.0
105	1710	5910	Mptx2	1.0
105	1756	5868	Mptx2	1.0
105	1779	5939	Mptx2	1.0
105	1789	5875	Mptx2	2.0
99	1803	5702	Mptx2	1.0
99	1808	5676	Mptx2	1.0
137	1753	7121	Lgr5	1.0
137	1783	7163	Lgr5	1.0
183	992	7233	Slc12a2	1.0
92	1019	6219	Slc12a2	1.0
92	1040	6275	Slc12a2	1.0
92	1050	6228	Slc12a2	1.0
92	1078	6246	Slc12a2	1.0
198	1220	6902	Slc12a2	1.0
198	1238	6886	Slc12a2	1.0
148	1580	7001	Slc12a2	1.0
144	1927	6832	Slc12a2	1.0
145	934	5855	Slc12a2	1.0
92	1012	6238	Slc12a2	1.0
92	1045	6244	Slc12a2	1.0
92	1053	6228	Slc12a2	1.0
92	1059	6282	Slc12a2	1.0
91	1015	7113	Slc12a2	1.0
92	1024	6249	Slc12a2	1.0
92	1045	6297	Slc12a2	1.0
92	1056	6231	Slc12a2	1.0
92	1061	6250	Slc12a2	1.0
137	1735	7143	Slc12a2	1.0
92	1046	6232	Slc12a2	1.0
91	1073	7131	Slc12a2	1.0
137	1725	7126	Slc12a2	1.0
137	1745	7131	Slc12a2	1.0
177	823	7025	Slc12a2	1.0
177	898	7032	Slc12a2	1.0
91	1036	7084	Slc12a2	1.0
92	1040	6208	Slc12a2	1.0
92	1047	6224	Slc12a2	1.0
92	1068	6272	Slc12a2	1.0
91	1073	7130	Slc12a2	1.0
158	1594	5620	Slc12a2	2.0
158	1632	5644	Slc12a2	1.0
105	1707	5838	Slc12a2	1.0
137	1745	7134	Slc12a2	1.0
137	1754	7106	Slc12a2	1.0
177	824	7026	Slc12a2	1.0
183	1041	7212	Slc12a2	1.0
158	1594	5620	Slc12a2	2.0
208	835	6969	Slc12a2	1.0
208	907	6909	Slc12a2	1.0
177	800	6995	Slc12a2	1.0
91	1034	7111	Slc12a2	1.0
91	1046	7091	Slc12a2	1.0
91	1039	7095	Slc12a2	1.0
91	1042	7106	Slc12a2	1.0
148	1598	6981	Jaml	1.0
105	1734	5859	Jaml	1.0
154	1941	5803	Jaml	1.0
105	1731	5887	Jaml	1.0
105	1734	5860	Jaml	1.0
148	1586	6958	Lrmp	1.0
92	1101	6307	Lrmp	1.0
92	1102	6286	Lrmp	1.0
99	1822	5736	Lrmp	1.0
92	1087	6256	Lrmp	1.0
91	1028	7121	Trpm5	1.0
137	1729	7130	Tm4sf4	1.0
137	1758	7146	Tm4sf4	1.0
148	1542	7006	Tm4sf4	1.0
137	1762	7152	Tm4sf4	1.0
144	1934	6863	Tm4sf4	1.0
145	914	5915	Krt7	1.0
137	1781	7139	Krt7	1.0
177	790	7091	Krt7	1.0
145	887	5878	Krt7	1.0
184	737	7444	Krt7	1.0
145	895	5935	Krt7	1.0
145	888	5904	Krt7	1.0
92	1026	6228	Tspan13	1.0
137	1738	7130	Tspan13	1.0
99	1812	5631	Tspan13	1.0
143	1929	5769	Tspan13	1.0
177	862	7043	Tspan13	1.0
183	958	7239	Tspan13	1.0
131	1649	6407	Tspan13	1.0
131	1655	6406	Tspan13	1.0
145	959	5900	Tspan13	1.0
137	1734	7120	Tspan13	1.0
183	1002	7250	Tspan13	1.0
137	1764	7126	Tspan13	1.0
137	1781	7113	Tspan13	1.0
177	832	7032	Tspan13	1.0
147	1475	6133	Rcor2	1.0
92	1014	6302	Sox4	1.0
147	1445	6144	Sox4	1.0
147	1459	6104	Sox4	1.0
158	1613	5622	Sox4	1.0
183	987	7233	Sox4	1.0
183	986	7258	Sox4	1.0
208	850	6955	Sox4	1.0
137	1769	7147	Sox4	1.0
145	886	5898	Sox4	1.0
177	899	7077	Sox4	1.0
137	1793	7142	Sox4	1.0
137	1793	7144	Sox4	1.0
177	865	7101	Sox4	1.0
183	1023	7237	Sox4	1.0
110	1720	7436	Hhex	1.0
92	1071	6229	Hhex	1.0
105	1709	5927	Hhex	1.0
157	1387	6204	Rgs4	1.0
131	1665	6321	Rgs4	1.0
145	937	5888	Rgs4	1.0
183	1040	7217	Rgs4	1.0
158	1585	5686	Rgs4	1.0
158	1594	5629	Rgs4	1.0
131	1701	6403	Rgs4	1.0
145	928	5951	Rgs4	1.0
183	1010	7277	Rgs4	1.0
183	1013	7266	Rgs4	1.0
183	1045	7239	Rgs4	1.0
198	1247	6894	Rgs4	1.0
165	1267	6564	Rgs4	1.0
158	1601	5671	Rgs4	1.0
183	1009	7262	Rgs4	1.0
183	1034	7258	Rgs4	1.0
183	1055	7237	Rgs4	1.0
183	1030	7256	Rgs4	1.0
183	1055	7235	Rgs4	1.0
145	863	5882	Rgs4	1.0
148	1575	6998	Rgs4	1.0
131	1655	6375	Adgrf5	1.0
131	1666	6365	Adgrf5	1.0
131	1674	6355	Adgrf5	1.0
183	1001	7270	Adgrf5	1.0
131	1676	6385	Adgrf5	1.0
183	1006	7275	Adgrf5	1.0
183	1000	7280	Adgrf5	1.0
131	1680	6393	Adgrf5	1.0
177	879	7127	Scn3a	1.0
137	1772	7127	Slc18a1	1.0
137	1785	7124	Slc18a1	1.0
137	1771	7127	Slc18a1	1.0
183	972	7258	Cd44	1.0
218	979	6325	Cd44	1.0
183	982	7231	Cd44	1.0
91	998	7098	Cd44	1.0
157	1390	6225	Cd44	1.0
158	1585	5624	Cd44	1.0
105	1720	5908	Cd44	1.0
105	1722	5887	Cd44	1.0
99	1810	5622	Cd44	1.0
99	1819	5732	Cd44	1.0
177	839	7045	Cd44	1.0
91	1053	7066	Cd44	1.0
196	1058	6125	Cd44	1.0
196	1061	6111	Cd44	1.0
196	1064	6138	Cd44	1.0
92	1108	6259	Cd44	1.0
157	1411	6233	Cd44	1.0
148	1528	7023	Cd44	1.0
99	1831	5725	Cd44	1.0
145	926	5930	Cd44	1.0
218	982	6324	Cd44	1.0
91	1040	7041	Cd44	1.0
196	1047	6150	Cd44	1.0
91	1053	7063	Cd44	1.0
91	1061	7052	Cd44	1.0
165	1249	6596	Cd44	1.0
157	1445	6258	Cd44	1.0
105	1736	5926	Cd44	1.0
105	1746	5881	Cd44	1.0
177	824	6996	Cd44	1.0
177	846	7018	Cd44	1.0
92	1043	6205	Cd44	1.0
92	1059	6280	Cd44	1.0
92	1075	6210	Cd44	1.0
157	1451	6177	Cd44	1.0
105	1729	5928	Cd44	1.0
105	1756	5910	Cd44	1.0
91	980	7087	Cd44	1.0
196	1047	6127	Cd44	1.0
92	1060	6238	Cd44	1.0
158	1556	5730	Cd44	1.0
158	1577	5748	Cd44	1.0
105	1765	5919	Cd44	1.0
154	1926	5795	Cd44	1.0
208	865	6909	Cd44	1.0
218	975	6346	Cd44	1.0
91	1005	7074	Cd44	1.0
183	1040	7243	Cd44	1.0
158	1555	5731	Cd44	1.0
137	1718	7109	Cd44	1.0
99	1799	5674	Cd44	1.0
177	820	7052	Cd44	1.0
183	942	7223	Cd44	1.0
131	1638	6417	Cd44	1.0
177	819	7051	Cd44	1.0
183	1023	7185	Cd44	1.0
105	1758	5886	Cd44	1.0
92	1029	6219	Scarb1	1.0
157	1440	6266	Scarb1	1.0
183	994	7281	Scarb1	1.0
183	1005	7258	Scarb1	1.0
148	1520	6968	Scarb1	1.0
183	1004	7247	Scarb1	1.0
183	1004	7260	Scarb1	1.0
91	1054	7119	Scarb1	1.0
91	1047	7111	Cnr1	1.0
92	1031	6236	Etv1	1.0
92	1035	6226	Etv1	1.0
92	1040	6257	Etv1	1.0
183	1043	7248	Etv1	1.0
92	1045	6229	Etv1	1.0
92	1047	6243	Etv1	1.0
91	1028	7057	Etv1	1.0
91	1044	7060	Etv1	1.0
137	1724	7128	Etv1	1.0
177	821	7079	Etv1	1.0
92	1037	6219	Adgrd1	1.0
92	1064	6236	Adgrd1	1.0
92	1071	6264	Adgrd1	1.0
92	1073	6252	Adgrd1	1.0
92	1021	6219	Adgrd1	1.0
92	1045	6255	Adgrd1	1.0
92	1050	6226	Adgrd1	1.0
177	789	6996	Adgrd1	1.0
208	823	6980	Adgrd1	1.0
