CellID	x	y	geneID	MIDCount
860	2451	7285	Txndc5	1.0
860	2538	7326	Sox4	1.0
860	2542	7331	Sox4	1.0
860	2551	7342	Sox4	1.0
860	2540	7372	Sox4	1.0
860	2512	7329	Hhex	1.0
860	2532	7342	Adgrf5	1.0
860	2517	7301	Scarb1	1.0
860	2534	7324	Plb1	1.0
860	2528	7332	Net1	1.0
860	2529	7381	Net1	1.0
860	2549	7354	Neat1	1.0
860	2515	7385	Neat1	1.0
860	2518	7392	Neat1	1.0
860	2521	7345	Neat1	1.0
860	2532	7389	Neat1	1.0
860	2506	7367	Neat1	1.0
860	2509	7362	Neat1	1.0
860	2516	7375	Neat1	1.0
860	2518	7387	Neat1	1.0
860	2523	7361	Neat1	1.0
860	2540	7396	Neat1	1.0
860	2502	7366	Neat1	1.0
860	2511	7357	Neat1	1.0
860	2501	7368	Neat1	1.0
860	2475	7281	Neat1	2.0
860	2486	7290	Neat1	1.0
860	2475	7281	Neat1	2.0
860	2486	7287	Neat1	1.0
860	2508	7309	Neat1	1.0
860	2473	7282	Neat1	1.0
860	2476	7266	Neat1	1.0
860	2527	7351	Stmn1	1.0
860	2552	7323	Vim	1.0
860	2570	7321	Vim	1.0
860	2490	7321	Vim	1.0
860	2557	7344	Vim	1.0
860	2538	7355	Vim	1.0
860	2557	7329	Acta2	1.0
860	2562	7320	Acta2	1.0
860	2575	7314	Acta2	1.0
860	2553	7331	Acta2	1.0
860	2555	7314	Acta2	1.0
860	2555	7316	Acta2	1.0
860	2578	7312	Acta2	1.0
860	2555	7320	Acta2	1.0
860	2579	7312	Acta2	1.0
860	2508	7334	Acta2	1.0
860	2545	7329	Acta2	1.0
860	2555	7340	Acta2	1.0
860	2566	7340	Acta2	1.0
860	2480	7319	Cspg4	1.0
860	2516	7349	Nes	1.0
860	2501	7330	Nes	1.0
860	2503	7329	Nes	1.0
860	2544	7351	Ifnar1	1.0
860	2514	7328	Sdc1	1.0
860	2476	7325	Cd34	1.0
860	2471	7269	H2-Eb1	1.0
860	2516	7296	Vcan	1.0
860	2501	7291	Lpar1	1.0
860	2547	7354	Lpar1	1.0
860	2482	7347	Lpar6	1.0
860	2508	7285	Fzd1	1.0
860	2516	7293	Fzd1	1.0
860	2504	7286	Fzd2	1.0
860	2529	7341	Fzd8	1.0
860	2533	7316	Smo	1.0
860	2542	7362	Galr2	1.0
1325	2529	1834	Mptx2	1.0
1325	2477	1827	Mptx2	1.0
1325	2491	1864	Slc12a2	1.0
1325	2495	1896	Slc12a2	1.0
1325	2527	1843	Krt7	1.0
1325	2491	1815	Sox4	1.0
1325	2493	1806	Cd44	1.0
1325	2490	1831	Nt5e	1.0
1325	2489	1832	Nt5e	1.0
1325	2517	1872	Nt5e	1.0
1325	2486	1876	Maged2	1.0
1325	2467	1905	Ccnl2	1.0
1325	2467	1912	Neat1	1.0
1325	2490	1850	Neat1	1.0
1325	2476	1931	Neat1	1.0
1325	2461	1925	Acta2	1.0
1325	2480	1815	Acta2	1.0
1325	2481	1883	Acta2	1.0
1325	2493	1860	Acta2	1.0
1325	2490	1805	Acta2	1.0
1325	2477	1822	Acta2	1.0
1325	2499	1885	Acta2	1.0
1325	2501	1843	Acta2	1.0
1325	2487	1888	Acta2	1.0
1325	2472	1938	Acta2	1.0
1325	2483	1886	Acta2	1.0
1325	2492	1814	Acta2	1.0
1325	2502	1829	Acta2	1.0
1325	2502	1897	Acta2	1.0
1325	2451	1902	Acta2	1.0
1325	2491	1816	Acta2	1.0
1325	2501	1828	Acta2	1.0
1325	2506	1839	Acta2	1.0
1325	2491	1876	Acta2	1.0
1325	2514	1866	Acta2	1.0
1325	2512	1866	Acta2	1.0
1325	2504	1832	Elavl3	1.0
1325	2487	1848	Nes	1.0
1325	2449	1908	Ifnar1	1.0
1325	2433	1924	Cd34	1.0
1325	2479	1815	Nkg7	1.0
1325	2485	1866	Lpar1	1.0
1325	2513	1869	Tbxa2r	1.0
1325	2483	1801	Fzd1	1.0
1325	2515	1851	Fzd1	1.0
1325	2501	1833	Fzd1	1.0
1325	2503	1827	Fzd1	1.0
1325	2450	1922	Fzd7	1.0
1325	2477	1857	Fzd7	1.0
1325	2491	1847	Fzd2	1.0
1325	2470	1894	Smo	1.0
1325	2538	1858	Adrb2	1.0
1325	2540	1847	Adrb2	1.0
1325	2539	1858	Adrb2	1.0
1325	2479	1850	Taar7a	1.0
1325	2475	1898	Cckar	1.0
1401	3863	4431	Slc51a	1.0
1401	3863	4479	Slc51a	1.0
1401	3873	4448	Slc51a	1.0
1401	3877	4416	Slc51a	1.0
1401	3876	4472	Slc51a	1.0
1401	3883	4473	Slc51a	1.0
1401	3888	4482	Slc51a	1.0
1401	3888	4455	Slc51a	1.0
1401	3913	4434	Slc51a	1.0
1401	3837	4420	Slc51a	1.0
1401	3858	4446	Slc51a	1.0
1401	3858	4435	Slc51a	1.0
1401	3876	4441	Slc51a	1.0
1401	3883	4435	Slc51a	1.0
1401	3895	4429	Slc51a	1.0
1629	4912	3955	Slc51a	1.0
1629	4913	3928	Slc51a	1.0
1636	4979	4063	Slc51a	1.0
1401	3845	4433	Slc51a	1.0
1401	3854	4439	Slc51a	1.0
1401	3859	4473	Slc51a	1.0
1401	3859	4442	Slc51a	1.0
1401	3869	4455	Slc51a	1.0
1401	3875	4473	Slc51a	1.0
1401	3878	4479	Slc51a	1.0
1401	3883	4500	Slc51a	1.0
1401	3886	4434	Slc51a	1.0
1401	3889	4477	Slc51a	1.0
1401	3897	4423	Slc51a	1.0
1401	3905	4448	Slc51a	1.0
1629	4896	3951	Slc51a	1.0
1629	4899	3937	Slc51a	1.0
1629	4901	3920	Slc51a	1.0
1636	4985	4075	Slc51a	1.0
1401	3858	4453	Slc51a	1.0
1401	3862	4483	Slc51a	1.0
1401	3882	4501	Slc51a	1.0
1401	3887	4426	Slc51a	1.0
1401	3905	4447	Slc51a	1.0
1629	4897	3953	Slc51a	1.0
1629	4909	3956	Slc51a	1.0
1401	3861	4445	Slc51a	1.0
1401	3868	4523	Slc51a	1.0
1401	3873	4477	Slc51a	1.0
1401	3881	4490	Slc51a	1.0
1401	3890	4481	Slc51a	1.0
1629	4899	3942	Slc51a	1.0
1629	4909	3933	Slc51a	1.0
1636	4991	4069	Slc51a	1.0
1722	5119	4703	Slc51a	1.0
1722	5126	4712	Slc51a	1.0
1401	3839	4418	Slc51a	1.0
1401	3868	4488	Slc51a	1.0
1401	3871	4439	Slc51a	1.0
1401	3878	4494	Slc51a	1.0
1401	3887	4454	Slc51a	1.0
1629	4906	3938	Slc51a	1.0
1636	4981	4061	Slc51a	1.0
1722	5115	4704	Slc51a	1.0
1722	5142	4737	Slc51a	1.0
1401	3853	4432	Slc51a	1.0
1401	3854	4410	Slc51a	1.0
1401	3868	4460	Slc51a	1.0
1401	3871	4433	Slc51a	1.0
1401	3880	4420	Slc51a	1.0
1401	3878	4482	Slc51a	1.0
1401	3883	4451	Slc51a	1.0
1401	3887	4433	Slc51a	1.0
1629	4914	3939	Slc51a	1.0
1636	4980	4076	Slc51a	1.0
1636	4986	4072	Slc51a	1.0
1401	3852	4427	Slc51a	1.0
1401	3870	4433	Slc51a	1.0
1401	3874	4455	Slc51a	1.0
1401	3878	4425	Slc51a	1.0
1401	3881	4450	Slc51a	1.0
1401	3883	4437	Slc51a	1.0
1629	4899	3952	Slc51a	1.0
1629	4904	3921	Slc51a	1.0
1636	4987	4073	Slc51a	1.0
1722	5113	4670	Slc51a	1.0
1401	3875	4450	Slc51a	1.0
1401	3880	4425	Slc51a	1.0
1401	3881	4435	Slc51a	1.0
1722	5120	4644	Slc51a	1.0
1401	3859	4472	Maoa	1.0
1401	3865	4440	Maoa	1.0
1401	3879	4499	Maoa	1.0
1401	3833	4406	Maoa	1.0
1401	3864	4470	Maoa	1.0
1401	3882	4491	Maoa	1.0
1629	4904	3945	Maoa	1.0
1401	3858	4525	Maoa	1.0
1401	3881	4497	Maoa	1.0
1401	3889	4425	Maoa	1.0
1756	4073	4073	Maoa	1.0
1401	3863	4426	Maoa	1.0
1401	3872	4449	Maoa	1.0
1401	3873	4487	Maoa	1.0
1401	3831	4407	Maoa	1.0
1401	3888	4472	Maoa	1.0
1401	3829	4407	Maoa	1.0
1401	3873	4436	Maoa	1.0
1401	3874	4470	Maoa	1.0
1401	3830	4404	Maoa	1.0
1401	3856	4466	Maoa	1.0
1401	3874	4467	Maoa	1.0
1401	3879	4441	Maoa	1.0
1401	3884	4429	Maoa	1.0
1401	3862	4419	Maoa	1.0
1756	4172	4079	Hmgb2	1.0
1401	3892	4439	Hmgb2	1.0
1401	3900	4483	Cps1	1.0
1401	3868	4456	Cps1	1.0
1401	3843	4408	Cps1	1.0
1401	3867	4456	Cps1	1.0
1401	3874	4440	Cps1	1.0
1629	4891	3928	Txndc5	1.0
1629	4890	3929	Txndc5	1.0
1629	4886	3921	Txndc5	1.0
1722	5109	4686	Txndc5	1.0
1629	4882	3917	Txndc5	1.0
1401	3865	4479	Txndc5	1.0
1401	3868	4462	Txndc5	1.0
1401	3871	4471	Txndc5	1.0
1722	5148	4749	Clca3b	1.0
1401	3869	4446	Clca3b	1.0
1401	3893	4422	Clca3b	1.0
1401	3860	4464	Clca3b	1.0
1401	3863	4482	Clca3b	1.0
1401	3880	4493	Clca3b	1.0
1401	3885	4440	Clca3b	1.0
1401	3872	4479	Clca3b	1.0
1401	3898	4463	Clca3b	1.0
1756	4059	4029	Jaml	1.0
1756	4150	4068	Jaml	1.0
1756	4137	4095	Jaml	1.0
1756	4159	4069	Jaml	1.0
1756	4128	4090	Lrmp	1.0
1756	4144	4076	Lrmp	2.0
1756	4144	4076	Lrmp	2.0
1629	4905	3943	Tm4sf4	1.0
