CellID	x	y	geneID	MIDCount
32	1807	1571	Tspan13	1.0
34	1877	1103	Tspan13	1.0
32	1818	1557	Ccnl2	1.0
34	1848	1093	Neat1	1.0
32	1817	1547	Neat1	1.0
32	1834	1548	Neat1	1.0
32	1828	1559	Neat1	1.0
32	1827	1573	Neat1	1.0
32	1829	1565	Neat1	1.0
32	1832	1559	Neat1	1.0
32	1836	1557	Neat1	1.0
32	1840	1571	Neat1	1.0
32	1828	1561	Neat1	1.0
32	1842	1569	Neat1	1.0
32	1841	1569	Neat1	1.0
32	1843	1562	Neat1	1.0
32	1803	1572	Acta2	1.0
32	1833	1562	Acta2	1.0
32	1844	1577	Acta2	1.0
34	1875	1110	Acta2	1.0
34	1882	1102	Acta2	1.0
32	1804	1572	Acta2	1.0
32	1812	1563	Acta2	1.0
32	1823	1570	Acta2	1.0
32	1829	1562	Acta2	1.0
34	1831	1084	Acta2	1.0
34	1877	1087	Acta2	1.0
32	1804	1544	Acta2	1.0
32	1809	1567	Acta2	1.0
34	1864	1113	Acta2	1.0
34	1868	1102	Acta2	1.0
34	1873	1094	Acta2	1.0
34	1877	1085	Acta2	1.0
34	1884	1098	Acta2	1.0
32	1801	1550	Acta2	1.0
32	1809	1536	Acta2	1.0
32	1825	1564	Acta2	1.0
34	1848	1086	Acta2	1.0
34	1866	1105	Acta2	1.0
34	1872	1098	Acta2	1.0
34	1877	1092	Acta2	1.0
34	1880	1086	Acta2	1.0
34	1882	1082	Acta2	1.0
32	1810	1591	Acta2	1.0
32	1816	1587	Acta2	1.0
32	1829	1575	Acta2	1.0
34	1873	1095	Acta2	1.0
34	1881	1083	Acta2	1.0
34	1886	1099	Acta2	1.0
32	1809	1578	Acta2	1.0
32	1819	1584	Acta2	1.0
34	1865	1102	Acta2	1.0
34	1879	1092	Acta2	1.0
34	1879	1084	Acta2	3.0
32	1799	1578	Acta2	1.0
32	1814	1568	Acta2	1.0
32	1842	1594	Acta2	1.0
34	1879	1084	Acta2	3.0
34	1883	1103	Acta2	1.0
32	1799	1576	Acta2	1.0
34	1879	1084	Acta2	3.0
32	1832	1569	Acta2	1.0
34	1859	1101	Cspg4	1.0
34	1868	1094	Cspg4	1.0
32	1834	1581	Cspg4	1.0
32	1831	1562	S1pr2	1.0
32	1833	1550	S1pr2	1.0
32	1811	1560	Fzd7	1.0
34	1863	1109	Chrm2	1.0
32	1809	1569	Chrm2	1.0
32	1810	1577	Chrm2	1.0
34	1862	1107	Chrm2	1.0
34	1868	1107	Chrm2	1.0
34	1877	1089	Chrm2	1.0
32	1813	1584	Chrm2	1.0
32	1819	1578	Chrm2	1.0
34	1863	1120	Chrm2	1.0
34	1886	1088	Chrm2	1.0
32	1833	1573	Chrm2	1.0
34	1875	1096	Chrm2	1.0
32	1815	1550	Taar7a	1.0
32	1848	1584	Taar7a	1.0
32	1816	1569	Galr2	1.0
44	1552	7237	Slc51a	1.0
67	907	7361	Maoa	1.0
69	955	6538	Maoa	1.0
72	1469	6630	Maoa	1.0
73	1579	7214	Maoa	1.0
84	1134	7248	Maoa	1.0
86	1355	6084	Hmgb2	1.0
84	1165	7186	Hmgb2	1.0
90	1583	7413	Hmgb2	1.0
73	1627	7204	Hmgb2	1.0
97	1935	6544	Hmgb2	1.0
107	1929	6632	Hmgb2	1.0
108	1870	6407	Hmgb2	1.0
113	1860	7048	Cps1	1.0
113	1870	7097	Cps1	1.0
113	1870	7084	Cps1	1.0
113	1871	7092	Cps1	1.0
113	1920	7045	Cps1	1.0
118	1923	7206	Cps1	1.0
119	1927	7413	Cps1	1.0
113	1929	7056	Cps1	1.0
113	1903	7059	Cps1	1.0
113	1910	7053	Cps1	1.0
113	1896	7047	Cps1	1.0
113	1916	7058	Cps1	1.0
113	1920	7041	Cps1	1.0
97	1929	6520	Cps1	1.0
113	1885	7038	Cps1	1.0
108	1909	6400	Cps1	1.0
113	1916	7034	Cps1	1.0
113	1917	7047	Cps1	1.0
97	1932	6522	Cps1	1.0
118	1941	7216	Cps1	1.0
113	1913	7045	Cps1	1.0
118	1936	7181	Cps1	1.0
113	1857	7093	Cps1	1.0
108	1905	6400	Cps1	1.0
118	1933	7179	Cps1	1.0
108	1940	6404	Cps1	1.0
113	1856	7092	Cps1	1.0
108	1882	6397	Cps1	1.0
108	1881	6403	Cps1	1.0
108	1890	6404	Cps1	1.0
108	1895	6399	Cps1	1.0
113	1901	7035	Cps1	1.0
113	1847	7038	Cps1	1.0
108	1880	6388	Cps1	1.0
108	1883	6403	Cps1	1.0
113	1847	7039	Cps1	1.0
132	1596	6521	Txndc5	1.0
113	1845	7058	Txndc5	1.0
113	1895	7017	Txndc5	1.0
113	1927	7053	Txndc5	1.0
90	1558	7445	Txndc5	1.0
113	1890	7029	Txndc5	1.0
107	1868	6681	Txndc5	1.0
113	1938	7012	Txndc5	1.0
164	1068	5731	Txndc5	1.0
166	1472	6247	Txndc5	1.0
108	1857	6362	Txndc5	2.0
108	1906	6407	Txndc5	1.0
113	1939	7038	Txndc5	1.0
130	1427	6006	Txndc5	1.0
108	1857	6362	Txndc5	2.0
164	1088	5830	Txndc5	1.0
90	1571	7391	Txndc5	1.0
90	1572	7384	Txndc5	1.0
108	1941	6418	Txndc5	1.0
187	1441	7331	Klk1	1.0
132	1602	6501	Clca3b	1.0
113	1861	7053	Clca3b	1.0
113	1889	7077	Clca3b	1.0
113	1910	7043	Clca3b	1.0
113	1921	7058	Clca3b	1.0
113	1924	7039	Clca3b	1.0
113	1935	7071	Clca3b	1.0
108	1941	6403	Clca3b	1.0
166	1532	6300	Clca3b	1.0
113	1854	7073	Clca3b	1.0
113	1856	7058	Clca3b	1.0
113	1917	7058	Clca3b	1.0
113	1926	7056	Clca3b	1.0
119	1932	7410	Clca3b	1.0
113	1932	7075	Clca3b	1.0
113	1936	7038	Clca3b	2.0
113	1846	7077	Clca3b	1.0
113	1858	7050	Clca3b	1.0
113	1865	7037	Clca3b	1.0
113	1906	7047	Clca3b	1.0
113	1909	7064	Clca3b	1.0
113	1914	7041	Clca3b	1.0
113	1936	7038	Clca3b	2.0
118	1938	7212	Clca3b	1.0
97	1938	6537	Clca3b	1.0
113	1868	7091	Clca3b	1.0
113	1886	7055	Clca3b	1.0
113	1905	7034	Clca3b	1.0
113	1916	7039	Clca3b	1.0
113	1924	7036	Clca3b	1.0
119	1935	7415	Clca3b	1.0
97	1940	6539	Clca3b	1.0
113	1881	7041	Clca3b	1.0
113	1897	7033	Clca3b	1.0
113	1906	7035	Clca3b	1.0
113	1915	7041	Clca3b	1.0
97	1930	6522	Clca3b	1.0
118	1935	7232	Clca3b	1.0
113	1859	7091	Clca3b	1.0
108	1888	6394	Clca3b	1.0
113	1892	7072	Clca3b	1.0
108	1891	6400	Clca3b	1.0
113	1902	7032	Clca3b	1.0
113	1912	7067	Clca3b	1.0
108	1923	6405	Clca3b	1.0
118	1938	7232	Clca3b	1.0
108	1876	6397	Clca3b	1.0
113	1887	7039	Clca3b	1.0
108	1892	6399	Clca3b	1.0
108	1899	6402	Clca3b	1.0
108	1910	6400	Clca3b	1.0
113	1910	7046	Clca3b	1.0
118	1931	7207	Clca3b	1.0
113	1876	7025	Clca3b	1.0
108	1880	6394	Clca3b	1.0
108	1885	6394	Clca3b	1.0
108	1887	6401	Clca3b	1.0
113	1892	7059	Clca3b	1.0
108	1899	6404	Clca3b	1.0
118	1921	7205	Clca3b	1.0
97	1933	6526	Clca3b	1.0
97	1930	6525	Clca3b	1.0
113	1882	7061	Mptx2	1.0
113	1891	7020	Mptx2	1.0
113	1904	7017	Mptx2	1.0
113	1919	7048	Mptx2	1.0
113	1937	7005	Mptx2	1.0
190	1316	6275	Mptx2	1.0
192	1792	6721	Mptx2	1.0
192	1794	6709	Mptx2	1.0
113	1863	7069	Mptx2	1.0
113	1869	7043	Mptx2	1.0
97	1939	6531	Mptx2	1.0
90	1638	7375	Mptx2	1.0
192	1799	6694	Mptx2	1.0
113	1861	7042	Mptx2	1.0
113	1880	7032	Mptx2	1.0
113	1881	7048	Mptx2	1.0
113	1913	7018	Mptx2	1.0
113	1921	7018	Mptx2	1.0
113	1933	7006	Mptx2	1.0
69	971	6530	Mptx2	1.0
72	1313	6616	Mptx2	1.0
113	1877	7022	Mptx2	1.0
113	1896	7026	Mptx2	1.0
113	1883	7022	Mptx2	1.0
113	1906	7012	Mptx2	1.0
113	1914	7007	Mptx2	1.0
113	1928	7004	Mptx2	1.0
113	1884	7017	Mptx2	1.0
108	1906	6418	Mptx2	1.0
113	1916	7002	Mptx2	1.0
113	1926	7015	Mptx2	1.0
73	1522	7199	Mptx2	1.0
113	1850	7042	Mptx2	1.0
113	1897	7011	Mptx2	1.0
113	1912	7041	Mptx2	1.0
113	1919	7015	Mptx2	1.0
113	1922	7048	Mptx2	1.0
107	1925	6621	Mptx2	1.0
113	1931	7004	Mptx2	1.0
73	1604	7202	Mptx2	1.0
108	1883	6401	Mptx2	1.0
113	1919	7085	Mptx2	1.0
72	1453	6612	Mptx2	1.0
108	1873	6374	Mptx2	1.0
107	1872	6666	Mptx2	1.0
107	1894	6659	Mptx2	1.0
113	1897	7094	Mptx2	1.0
113	1916	7008	Mptx2	1.0
113	1915	7038	Lgr5	1.0
113	1928	7077	Lgr5	1.0
113	1924	7073	Lgr5	1.0
113	1875	7036	Lgr5	1.0
108	1906	6422	Lgr5	1.0
84	1144	7203	Slc12a2	1.0
190	1334	6265	Slc12a2	1.0
130	1342	5999	Slc12a2	1.0
72	1407	6579	Slc12a2	1.0
130	1412	6057	Slc12a2	1.0
90	1600	7428	Slc12a2	1.0
113	1881	7051	Slc12a2	1.0
113	1931	7021	Slc12a2	1.0
84	1127	7162	Slc12a2	1.0
84	1141	7233	Slc12a2	1.0
113	1907	7047	Slc12a2	1.0
118	1940	7184	Slc12a2	1.0
84	1142	7233	Slc12a2	1.0
86	1354	6196	Slc12a2	1.0
86	1402	6172	Slc12a2	1.0
166	1439	6215	Slc12a2	1.0
205	1647	5812	Slc12a2	1.0
118	1938	7207	Slc12a2	1.0
206	944	6053	Slc12a2	1.0
86	1331	6115	Slc12a2	1.0
166	1525	6192	Slc12a2	1.0
205	1668	5776	Slc12a2	1.0
118	1932	7221	Slc12a2	1.0
97	1941	6537	Slc12a2	1.0
84	1164	7231	Slc12a2	1.0
190	1302	6186	Slc12a2	1.0
113	1887	7033	Slc12a2	1.0
108	1931	6422	Slc12a2	1.0
97	1941	6535	Slc12a2	1.0
206	932	6054	Slc12a2	1.0
113	1888	7032	Slc12a2	1.0
113	1901	7030	Slc12a2	1.0
113	1927	7018	Slc12a2	1.0
113	1935	7024	Slc12a2	1.0
166	1523	6296	Slc12a2	1.0
113	1867	7049	Slc12a2	1.0
113	1908	7060	Slc12a2	1.0
118	1919	7207	Slc12a2	1.0
107	1870	6676	Jaml	1.0
118	1921	7200	Jaml	1.0
118	1911	7203	Jaml	1.0
72	1435	6573	Lrmp	1.0
72	1436	6572	Lrmp	1.0
107	1940	6649	Lrmp	1.0
86	1311	6176	Lrmp	1.0
113	1915	7109	Avil	1.0
118	1939	7198	Tm4sf4	1.0
205	1616	5835	Tm4sf4	1.0
113	1902	7105	Tm4sf4	1.0
113	1911	7009	Tm4sf4	1.0
113	1914	7117	Krt7	1.0
113	1849	7062	Krt7	1.0
108	1914	6403	Krt7	1.0
113	1919	7108	Krt7	1.0
113	1889	7108	Krt7	1.0
113	1890	7108	Krt7	1.0
72	1427	6618	Tspan13	1.0
67	896	7358	Tspan13	1.0
192	1852	6648	Tspan13	1.0
67	916	7405	Sox4	1.0
164	1139	5832	Sox4	1.0
187	1411	7314	Sox4	1.0
192	1851	6657	Sox4	1.0
118	1934	7187	Sox4	1.0
187	1422	7286	Sox4	1.0
113	1872	7109	Sox4	1.0
113	1878	7092	Sox4	1.0
108	1923	6401	Sox4	1.0
164	1143	5847	Sox4	1.0
187	1352	7319	Sox4	1.0
113	1848	7082	Sox4	1.0
69	940	6553	Sox4	1.0
187	1360	7361	Sox4	1.0
164	1056	5799	Sox4	1.0
113	1890	7031	Sox4	1.0
118	1932	7236	Sox4	1.0
108	1904	6399	Sox4	1.0
113	1904	7055	Sox4	1.0
164	1160	5848	Hhex	1.0
73	1594	7221	Rgs4	1.0
73	1601	7210	Rgs4	1.0
73	1611	7196	Rgs4	1.0
118	1938	7167	Rgs4	1.0
86	1314	6145	Rgs4	1.0
130	1367	6011	Rgs4	1.0
86	1394	6160	Rgs4	1.0
90	1601	7368	Rgs4	1.0
73	1617	7209	Rgs4	1.0
130	1367	6054	Rgs4	1.0
90	1599	7388	Rgs4	1.0
90	1605	7383	Rgs4	1.0
73	1640	7225	Rgs4	1.0
113	1909	7100	Rgs4	1.0
206	944	6009	Rgs4	1.0
86	1320	6146	Rgs4	1.0
73	1540	7173	Rgs4	1.0
90	1582	7383	Rgs4	1.0
90	1591	7372	Rgs4	1.0
90	1573	7396	Rgs4	1.0
166	1544	6254	Rgs4	1.0
44	1541	7210	Rgs4	1.0
44	1541	7209	Rgs4	1.0
164	1159	5840	Adgrf5	1.0
164	1164	5857	Adgrf5	1.0
132	1619	6515	Adgrf5	1.0
107	1936	6699	Adgrf5	1.0
73	1592	7204	Adgrf5	1.0
73	1603	7193	Adgrf5	1.0
73	1611	7211	Adgrf5	1.0
73	1617	7230	Adgrf5	1.0
44	1565	7235	Adgrf5	1.0
73	1595	7205	Adgrf5	1.0
73	1613	7215	Adgrf5	1.0
132	1627	6479	Adgrf5	1.0
192	1825	6692	Scn3a	1.0
113	1906	7084	Scn3a	1.0
113	1919	7104	Scn3a	1.0
113	1917	7105	Scn3a	1.0
113	1908	7117	Scn3a	1.0
113	1919	7109	Scn3a	1.0
113	1893	7115	Slc18a1	1.0
