CellID	x	y	geneID	MIDCount
18	1658	1663	Txndc5	1.0
19	1786	1440	Txndc5	1.0
19	1827	1475	Txndc5	2.0
19	1827	1475	Txndc5	2.0
19	1825	1465	Slc12a2	1.0
19	1744	1429	Lrmp	1.0
18	1681	1650	Tspan13	1.0
18	1675	1672	Sox4	1.0
19	1791	1454	Sox4	1.0
19	1796	1443	Rgs4	1.0
19	1792	1462	Rgs4	1.0
19	1792	1459	Rgs4	1.0
18	1701	1666	Cd44	1.0
18	1689	1654	Cd44	1.0
18	1720	1639	Cd44	1.0
19	1790	1421	Cd44	1.0
19	1832	1487	Cd44	1.0
19	1748	1404	Nt5e	1.0
19	1757	1413	Maged2	1.0
19	1794	1458	Maged2	1.0
19	1797	1417	Net1	1.0
18	1704	1652	Ccnl2	1.0
18	1711	1654	Ccnl2	1.0
19	1738	1415	Ccnl2	1.0
19	1797	1473	Neat1	1.0
19	1731	1402	Neat1	1.0
19	1734	1408	Neat1	1.0
19	1795	1450	Vim	1.0
18	1730	1633	Acta2	1.0
19	1742	1417	Acta2	1.0
19	1753	1432	Acta2	1.0
19	1781	1414	Acta2	1.0
19	1791	1408	Acta2	1.0
19	1799	1444	Acta2	1.0
19	1849	1479	Acta2	1.0
19	1737	1405	Acta2	1.0
19	1751	1438	Acta2	1.0
19	1760	1414	Acta2	1.0
19	1788	1438	Acta2	1.0
19	1797	1456	Acta2	1.0
19	1738	1404	Acta2	1.0
19	1742	1448	Acta2	1.0
19	1746	1418	Acta2	1.0
19	1749	1424	Acta2	1.0
19	1759	1418	Acta2	1.0
19	1774	1483	Acta2	1.0
19	1779	1444	Acta2	1.0
19	1787	1423	Acta2	1.0
19	1789	1427	Acta2	1.0
18	1727	1629	Acta2	1.0
19	1757	1416	Acta2	1.0
19	1756	1428	Acta2	1.0
19	1783	1456	Acta2	1.0
19	1788	1421	Acta2	1.0
18	1698	1643	Acta2	1.0
18	1721	1638	Acta2	1.0
19	1744	1424	Acta2	1.0
19	1773	1482	Acta2	1.0
19	1784	1449	Acta2	1.0
19	1817	1482	Acta2	1.0
18	1654	1649	Acta2	1.0
19	1745	1427	Acta2	2.0
19	1748	1417	Acta2	1.0
19	1808	1427	Acta2	1.0
19	1745	1427	Acta2	2.0
19	1774	1482	Acta2	1.0
19	1776	1451	Acta2	1.0
19	1787	1428	Acta2	1.0
19	1791	1415	Acta2	1.0
19	1800	1439	Acta2	1.0
19	1829	1483	Acta2	1.0
18	1660	1647	Acta2	1.0
19	1789	1443	Acta2	1.0
19	1776	1481	Acta2	1.0
18	1726	1640	Thy1	1.0
18	1689	1656	Cspg4	1.0
19	1815	1487	Cspg4	1.0
18	1706	1651	P2ry10b	1.0
40	1845	1937	Ptger3	1.0
19	1735	1406	Ptger3	1.0
19	1809	1478	S1pr4	1.0
18	1715	1651	Tbxa2r	1.0
19	1779	1487	Fzd7	1.0
19	1787	1391	Fzd7	1.0
19	1778	1466	Fzd7	1.0
19	1817	1468	Fzd7	1.0
19	1777	1412	Fzd2	1.0
19	1818	1480	Fzd3	1.0
19	1733	1403	Fzd3	1.0
19	1735	1445	Fzd3	1.0
19	1746	1389	Fzd4	1.0
19	1749	1434	Fzd5	1.0
18	1682	1662	Fzd6	1.0
18	1681	1663	Fzd6	1.0
19	1775	1464	Smo	1.0
19	1793	1407	Smo	1.0
19	1747	1415	Chrm2	1.0
19	1782	1468	Chrm2	1.0
18	1690	1674	Chrm2	1.0
19	1733	1407	Chrm2	1.0
19	1799	1438	Chrm2	1.0
19	1779	1421	Chrm2	1.0
18	1686	1649	Chrm2	1.0
19	1781	1420	Chrm2	1.0
18	1657	1649	Chrm2	1.0
18	1717	1647	Chrm2	1.0
18	1657	1650	Chrm2	1.0
19	1802	1482	Adra1a	1.0
19	1802	1462	Adra2b	1.0
19	1781	1451	Adra2b	1.0
18	1718	1645	Taar7a	1.0
19	1737	1418	Taar7a	1.0
19	1793	1471	Taar7a	1.0
19	1786	1479	Cckar	1.0
19	1784	1468	Galr2	1.0
19	1780	1438	Galr2	1.0
50	1395	6992	Slc51a	1.0
57	1009	6727	Maoa	1.0
58	1876	6082	Maoa	1.0
60	1598	6112	Maoa	1.0
63	1660	6651	Maoa	1.0
64	1780	6991	Maoa	1.0
65	1899	6073	Maoa	1.0
74	1635	5880	Maoa	1.0
58	1838	6144	Maoa	1.0
81	862	7381	Maoa	1.0
