CellID	x	y	geneID	MIDCount
8	1604	1695	Maoa	1.0
10	1847	1711	Maoa	1.0
8	1644	1696	Hmgb2	1.0
10	1758	1793	Txndc5	1.0
10	1829	1714	Txndc5	1.0
10	1755	1731	Slc12a2	1.0
10	1761	1791	Slc12a2	1.0
10	1789	1705	Slc12a2	1.0
10	1883	1765	Slc12a2	1.0
10	1811	1782	Slc12a2	1.0
10	1761	1793	Slc12a2	1.0
10	1795	1799	Slc12a2	1.0
10	1811	1780	Slc12a2	1.0
10	1769	1786	Slc12a2	1.0
10	1786	1800	Slc12a2	1.0
8	1657	1759	Tspan13	1.0
10	1861	1716	Tspan13	1.0
10	1859	1700	Tspan13	1.0
10	1870	1716	Tspan13	1.0
10	1862	1707	Tspan13	1.0
8	1645	1758	Sox4	1.0
8	1587	1689	Rgs4	1.0
8	1655	1730	Rgs4	1.0
10	1860	1737	Adgrf5	1.0
8	1650	1799	Scn3a	1.0
8	1610	1699	Cd44	1.0
8	1651	1797	Cd44	1.0
8	1652	1727	Cd44	1.0
8	1669	1758	Cd44	1.0
8	1653	1775	Cd44	1.0
10	1861	1735	Scarb1	1.0
10	1859	1730	Scarb1	1.0
10	1857	1712	Scarb1	1.0
8	1593	1696	Cnr1	1.0
10	1798	1788	Cnr1	1.0
10	1822	1712	Etv1	1.0
10	1843	1773	Etv1	1.0
10	1870	1777	Etv1	1.0
8	1606	1694	Adgrd1	1.0
10	1822	1715	Adgrd1	1.0
10	1776	1776	Adgrd1	1.0
10	1842	1718	Adgrd1	1.0
10	1884	1762	Adgrd1	1.0
10	1769	1736	Adgrd1	1.0
8	1650	1795	Nt5e	1.0
10	1836	1677	Nt5e	1.0
8	1665	1764	Nt5e	1.0
8	1571	1721	Maged2	1.0
8	1659	1695	Acsl1	1.0
8	1622	1726	Acsl1	1.0
8	1596	1713	Net1	1.0
10	1770	1712	Net1	1.0
10	1776	1733	Net1	1.0
10	1862	1741	Net1	1.0
10	1776	1717	Net1	1.0
10	1793	1722	Net1	1.0
8	1635	1699	Ccnl2	1.0
8	1607	1706	Ccnl2	1.0
10	1829	1716	Ccnl2	1.0
8	1639	1689	Neat1	1.0
10	1808	1729	Neat1	1.0
8	1643	1697	Neat1	1.0
10	1854	1723	Neat1	1.0
10	1852	1725	Neat1	1.0
10	1814	1726	Neat1	1.0
10	1878	1705	Neat1	1.0
10	1798	1794	Neat1	1.0
10	1798	1716	Neat1	1.0
10	1805	1708	Neat1	2.0
10	1813	1732	Neat1	1.0
10	1805	1708	Neat1	2.0
10	1847	1751	Neat1	1.0
10	1813	1713	Neat1	1.0
10	1822	1706	Neat1	1.0
10	1846	1751	Neat1	1.0
8	1602	1686	Neat1	1.0
8	1625	1720	Neat1	1.0
8	1642	1731	Neat1	1.0
10	1813	1711	Neat1	1.0
10	1828	1706	Neat1	1.0
8	1603	1686	Neat1	1.0
8	1582	1735	Vim	1.0
10	1816	1709	Vim	1.0
10	1864	1710	Vim	1.0
10	1868	1721	Vim	1.0
8	1647	1688	Vim	1.0
10	1833	1699	Vim	1.0
10	1869	1725	Vim	1.0
10	1877	1714	Vim	1.0
10	1781	1774	Vim	1.0
10	1839	1708	Vim	1.0
10	1859	1730	Vim	1.0
10	1770	1795	Vim	1.0
10	1772	1787	Vim	1.0
10	1797	1780	Vim	1.0
10	1803	1802	Vim	1.0
8	1576	1705	Vim	1.0
8	1540	1714	Acta2	1.0
8	1566	1726	Acta2	1.0
8	1593	1741	Acta2	1.0
8	1596	1693	Acta2	1.0
8	1607	1713	Acta2	1.0
8	1616	1705	Acta2	1.0
8	1642	1702	Acta2	1.0
8	1651	1690	Acta2	1.0
8	1652	1698	Acta2	2.0
8	1658	1728	Acta2	1.0
8	1666	1776	Acta2	1.0
8	1668	1791	Acta2	1.0
8	1672	1770	Acta2	1.0
10	1751	1773	Acta2	1.0
10	1758	1720	Acta2	1.0
10	1763	1724	Acta2	1.0
10	1765	1762	Acta2	1.0
10	1766	1733	Acta2	1.0
