Value,Length,Index
Hrh1,7,1
Stmn1,7,1
Adgrf5,7,1
Ffar4,7,1
Sox4,7,1
Fzd2,7,1
Tbxa2r,7,1
Itgae,7,2
Ccnl2,7,2
Nkg7,7,2
Cd3e,7,2
Lpar5,7,2
Cckar,7,2
Neat1,7,2
Fzd6,6,3
Glp2r,6,3
Fzd8,6,3
Mki67,6,3
Fzd3,6,3
Acta2,6,3
Mptx2,6,4
Ada,6,4
Tnfrsf21,6,4
Tm4sf4,6,4
Txndc5,6,4
Sdc1,6,4
H2-Eb1,6,5
Net1,6,5
Adgrd1,6,5
Marcksl1,6,5
Slc12a2,6,5
Slc18a1,6,5
Fzd1,6,6
C1qb,6,6
Cd34,6,6
Cd4,6,6
Cd44,6,6
Cadm1,6,6
Nt5e,6,7
Fzd7,6,7
Cspg4,6,7
Gpr55,6,7
Jaml,6,7
Etv1,6,7
S1pr2,5,8
Taar7a,5,8
Krt7,5,8
Acsl1,5,8
Tspan13,5,8
Apob,5,9
Slc5a1,5,9
Maoa,5,9
Ifnar1,5,9
Slc51a,5,9
Cps1,4,10
Cd14,4,10
Itgam,4,10
Clca3b,4,10
Lpar1,4,11
Ptger4,4,11
Lpar3,4,11
Ffar2,4,11
Adra2a,3,12
Vim,3,12
Hmgb2,3,12
Mzb1,3,13
Cd79a,3,13
C1qc,3,13
Cd79b,3,14
Klk1,3,14
Kit,3,14
Smo,3,15
Fzd5,3,15
Nlrp6,3,15
Lrmp,2,16
Nes,2,16
Vcan,2,17
Maged2,2,17
