CellID	x	y	geneID	MIDCount
141	2006	6156	Tspan13	1.0
141	2010	6134	Tspan13	1.0
141	2010	6131	Sox4	1.0
141	1996	6121	Sox4	1.0
141	1988	6167	Adgrf5	1.0
141	1988	6131	Cd44	1.0
141	1999	6143	Maged2	1.0
141	1996	6141	Neat1	1.0
141	1993	6144	Vim	1.0
141	2012	6162	Vim	1.0
141	1994	6159	Vim	1.0
141	2013	6132	Vim	1.0
141	2022	6158	Cspg4	1.0
141	2015	6137	Cd3d	1.0
141	1999	6152	Ifnar1	1.0
141	2042	6134	Cd34	1.0
141	2013	6138	C1qc	1.0
141	2021	6150	Lpar1	1.0
141	2014	6164	Smo	1.0
141	2000	6141	Smo	1.0
141	2008	6126	Smo	1.0
141	1991	6146	Sstr1	1.0
1508	4683	5173	Slc51a	1.0
1557	5040	4284	Slc51a	1.0
1666	4848	5325	Slc51a	1.0
1666	4821	5330	Slc51a	1.0
1666	4863	5315	Slc51a	1.0
1666	4855	5325	Slc51a	1.0
1666	4861	5333	Slc51a	1.0
1734	4658	5451	Slc51a	1.0
1734	4692	5407	Slc51a	1.0
1666	4853	5338	Slc51a	1.0
1557	5086	4257	Slc51a	1.0
1734	4621	5423	Slc51a	1.0
1734	4634	5426	Slc51a	1.0
1734	4657	5451	Slc51a	1.0
1734	4694	5415	Slc51a	1.0
1666	4858	5338	Slc51a	1.0
1666	4866	5338	Slc51a	1.0
1557	5101	4297	Slc51a	1.0
1734	4638	5427	Slc51a	1.0
1734	4709	5349	Slc51a	1.0
1666	4826	5290	Slc51a	1.0
1557	5087	4262	Slc51a	1.0
1557	5105	4296	Slc51a	1.0
1749	4770	4129	Maoa	1.0
1756	4073	4073	Maoa	1.0
1775	3934	5115	Hmgb2	1.0
1780	4469	4096	Hmgb2	1.0
1780	4473	4163	Hmgb2	1.0
1780	4487	4199	Hmgb2	1.0
1781	4532	5121	Hmgb2	1.0
1734	4625	5336	Hmgb2	1.0
1508	4661	5169	Hmgb2	1.0
1756	4172	4079	Hmgb2	1.0
1780	4457	4097	Hmgb2	1.0
1780	4498	4120	Hmgb2	1.0
1790	4579	5278	Hmgb2	1.0
1790	4599	5237	Hmgb2	1.0
1781	4617	5196	Hmgb2	1.0
1508	4629	5241	Hmgb2	1.0
1794	4853	4067	Hmgb2	1.0
