CellID	x	y	geneID	MIDCount
1	1705	1271	Maoa	1.0
3	1904	794	Maoa	1.0
4	1915	1430	Maoa	1.0
6	1822	1232	Maoa	1.0
7	1880	1322	Maoa	1.0
8	1604	1695	Maoa	1.0
9	1652	1923	Maoa	1.0
10	1847	1711	Maoa	1.0
11	1886	998	Maoa	1.0
12	1928	1095	Maoa	1.0
13	1515	1859	Maoa	1.0
14	1737	1171	Maoa	1.0
14	1775	1195	Maoa	1.0
15	1589	1814	Maoa	1.0
1	1711	1229	Maoa	1.0
14	1781	1101	Maoa	1.0
14	1788	1198	Maoa	1.0
11	1835	926	Hmgb2	1.0
8	1644	1696	Hmgb2	1.0
11	1835	938	Hmgb2	1.0
17	1557	1641	Txndc5	1.0
13	1559	1832	Txndc5	1.0
18	1658	1663	Txndc5	1.0
19	1786	1440	Txndc5	1.0
11	1814	944	Txndc5	1.0
6	1828	1217	Txndc5	1.0
20	1834	1856	Txndc5	1.0
21	1682	1382	Txndc5	1.0
10	1758	1793	Txndc5	1.0
11	1807	943	Txndc5	1.0
10	1829	1714	Txndc5	1.0
11	1841	942	Txndc5	1.0
22	1860	1635	Txndc5	1.0
23	1773	1016	Txndc5	1.0
6	1800	1252	Txndc5	1.0
20	1837	1852	Txndc5	1.0
20	1866	1828	Txndc5	1.0
3	1935	872	Txndc5	1.0
13	1511	1865	Txndc5	1.0
17	1519	1667	Txndc5	1.0
24	1578	1572	Txndc5	1.0
1	1708	1224	Txndc5	1.0
25	1740	1633	Txndc5	1.0
6	1814	1233	Txndc5	1.0
23	1877	1070	Txndc5	1.0
17	1554	1606	Txndc5	1.0
15	1566	1798	Txndc5	1.0
14	1715	1191	Txndc5	1.0
1	1726	1206	Txndc5	1.0
14	1777	1151	Txndc5	1.0
11	1795	922	Txndc5	1.0
11	1847	881	Txndc5	1.0
11	1861	922	Txndc5	1.0
13	1524	1840	Txndc5	1.0
24	1631	1603	Txndc5	1.0
11	1807	985	Txndc5	1.0
14	1830	1110	Txndc5	1.0
26	1858	1531	Txndc5	1.0
