CellID	x	y	geneID	MIDCount
641	3770	6507	Slc51a	1.0
641	3728	6367	Maoa	1.0
641	3743	6480	Maoa	1.0
641	3702	6445	Maoa	1.0
641	3738	6399	Maoa	1.0
641	3729	6469	Txndc5	1.0
641	3773	6390	Txndc5	1.0
641	3772	6426	Jaml	1.0
641	3772	6448	Jaml	1.0
641	3759	6514	Lrmp	1.0
641	3775	6387	Nt5e	1.0
641	3766	6462	Nt5e	1.0
641	3732	6449	Net1	1.0
641	3735	6457	Net1	1.0
641	3749	6448	Net1	1.0
641	3757	6380	Net1	1.0
641	3777	6396	Net1	1.0
641	3777	6400	Net1	1.0
641	3773	6363	Neat1	1.0
641	3776	6477	Neat1	1.0
641	3757	6430	Neat1	1.0
641	3759	6421	Neat1	1.0
641	3767	6453	Neat1	1.0
641	3720	6449	Neat1	1.0
641	3752	6428	Neat1	1.0
641	3766	6463	Neat1	1.0
641	3767	6462	Neat1	1.0
641	3754	6446	Neat1	1.0
641	3771	6456	Nlrp6	1.0
641	3751	6429	Marcksl1	1.0
641	3762	6409	Vim	1.0
641	3755	6376	Thy1	1.0
641	3754	6377	Thy1	1.0
641	3774	6415	Cd3d	1.0
641	3739	6428	Cd3d	1.0
641	3713	6432	Cd3d	1.0
641	3736	6408	Cd3e	1.0
641	3774	6389	Cd3e	1.0
641	3751	6400	Cd3e	1.0
641	3735	6436	Cd3e	1.0
641	3751	6398	Cd3e	1.0
641	3721	6410	Cd3e	1.0
641	3733	6406	Cd3e	1.0
641	3708	6433	Cd3e	1.0
641	3773	6449	Cd3e	1.0
641	3744	6439	Cd4	1.0
641	3743	6439	Cd4	1.0
641	3753	6424	Cd4	1.0
641	3757	6415	Cd4	1.0
641	3756	6415	Cd4	1.0
641	3727	6417	Cd4	1.0
641	3722	6412	Cd4	1.0
641	3754	6395	Cd4	1.0
641	3726	6475	Ifnar1	1.0
641	3750	6439	Itgae	1.0
641	3764	6411	Itgae	1.0
641	3726	6448	Itgae	1.0
641	3735	6428	Itgae	1.0
641	3740	6414	Itgae	1.0
641	3772	6386	Itgae	1.0
641	3776	6392	Itgae	1.0
641	3712	6430	Itgae	1.0
641	3713	6436	Itgae	1.0
641	3757	6425	Cd8a	1.0
641	3758	6417	Cd8a	1.0
641	3715	6462	Cd8a	1.0
641	3777	6388	Cd8b1	1.0
641	3762	6353	Cd8b1	1.0
641	3766	6374	Cd8b1	1.0
641	3772	6477	Cd27	1.0
641	3768	6365	Cd27	1.0
641	3776	6391	Fcgr4	1.0
641	3770	6506	H2-Eb1	1.0
641	3775	6388	H2-Eb1	1.0
641	3773	6390	H2-Eb1	1.0
641	3770	6393	Gzmb	1.0
641	3755	6445	Gzmb	1.0
641	3720	6413	Gzmb	1.0
641	3716	6421	Gzmb	1.0
641	3745	6479	Gzmb	1.0
641	3769	6397	C1qb	1.0
641	3717	6445	Il7r	1.0
641	3723	6431	Il7r	1.0
641	3720	6441	Nkg7	1.0
641	3769	6471	Nkg7	1.0
641	3774	6477	Nkg7	1.0
641	3767	6380	Nkg7	1.0
641	3756	6441	Cmc1	1.0
641	3774	6399	C1qc	1.0
641	3766	6365	Gpr18	1.0
641	3738	6409	Gpr18	1.0
641	3711	6435	Lpar1	1.0
641	3748	6449	Gpr55	1.0
641	3734	6447	Ptger4	1.0
641	3743	6401	Ptger4	1.0
641	3777	6475	Ptger4	1.0
641	3730	6441	Ptger4	1.0
641	3732	6450	Ptger4	1.0
641	3732	6441	Ptger4	1.0
641	3729	6414	Taar8a	1.0
641	3729	6437	Cckar	1.0
641	3722	6434	Glp1r	1.0
641	3743	6443	Gipr	1.0
1693	4996	4160	Slc51a	1.0
1719	4932	5192	Slc51a	1.0
1719	4941	5302	Slc51a	1.0
1693	5002	4158	Slc51a	1.0
1719	4933	5196	Slc51a	1.0
1719	4965	5229	Slc51a	1.0
1719	4977	5219	Slc51a	1.0
1693	5019	4176	Slc51a	1.0
1719	4915	5305	Slc51a	1.0
1719	4937	5300	Slc51a	1.0
1762	4602	4277	Maoa	1.0
1762	4543	4232	Hmgb2	1.0
1809	4622	4210	Hmgb2	1.0
1809	4646	4249	Hmgb2	1.0
1762	4651	4271	Cps1	1.0
1843	4513	3986	Txndc5	1.0
1693	4928	4186	Txndc5	1.0
1693	4940	4194	Txndc5	1.0
1843	4552	3915	Txndc5	1.0
1762	4564	4265	Txndc5	1.0
1693	4915	4205	Txndc5	1.0
1762	4592	4185	Txndc5	1.0
1693	4898	4182	Txndc5	1.0
1693	4910	4198	Txndc5	1.0
1762	4588	4178	Txndc5	1.0
1809	4676	4186	Txndc5	1.0
1809	4682	4187	Txndc5	1.0
1872	4755	5322	Txndc5	1.0
1872	4725	5348	Txndc5	1.0
1872	4728	5312	Txndc5	1.0
1872	4695	5310	Txndc5	1.0
1872	4700	5330	Txndc5	1.0
