CellID	x	y	geneID	MIDCount
1279	3036	402	Txndc5	1.0
1279	2980	371	Txndc5	1.0
1279	3009	402	Txndc5	1.0
1279	3001	390	Txndc5	1.0
1279	3018	423	Txndc5	1.0
1279	2964	400	Txndc5	1.0
1279	3023	431	Txndc5	1.0
1279	3041	437	Txndc5	1.0
1279	3037	443	Txndc5	1.0
1279	3016	388	Txndc5	1.0
1279	3037	425	Txndc5	1.0
1279	2984	379	Mptx2	1.0
1279	3001	395	Mptx2	1.0
1279	3029	428	Mptx2	1.0
1279	2994	372	Mptx2	1.0
1279	3013	371	Mptx2	1.0
1279	3017	386	Mptx2	1.0
1279	3027	422	Mptx2	1.0
1279	3030	400	Mptx2	1.0
1279	3035	415	Mptx2	1.0
1279	2991	374	Mptx2	1.0
1279	2997	383	Mptx2	1.0
1279	3011	367	Mptx2	1.0
1279	3013	391	Mptx2	1.0
1279	2998	401	Mptx2	1.0
1279	3037	447	Mptx2	1.0
1279	2964	405	Mptx2	1.0
1279	3028	435	Mptx2	1.0
1279	2994	380	Mptx2	1.0
1279	2995	402	Mptx2	1.0
1279	3037	432	Mptx2	1.0
1279	3025	424	Mptx2	1.0
1279	3038	406	Slc12a2	1.0
1279	3029	415	Slc12a2	1.0
1279	3042	404	Slc12a2	1.0
1279	3007	369	Slc12a2	1.0
1279	3028	414	Slc12a2	1.0
1279	3005	399	Slc12a2	1.0
1279	3006	382	Slc12a2	1.0
1279	3012	397	Slc12a2	1.0
1279	3010	383	Tm4sf4	2.0
1279	3010	383	Tm4sf4	2.0
1348	2273	138	Etv1	1.0
1348	2245	116	Net1	1.0
1348	2233	110	Ccnl2	1.0
1279	3008	373	Ccnl2	1.0
1279	3034	416	Neat1	1.0
1279	3016	387	Neat1	1.0
1279	3036	399	Neat1	1.0
1279	3010	386	Neat1	1.0
1279	3018	392	Neat1	1.0
1279	3030	402	Neat1	1.0
1279	3037	393	Neat1	1.0
1279	3004	393	Neat1	1.0
1279	3004	400	Neat1	1.0
1279	3013	391	Neat1	1.0
1279	3015	407	Neat1	1.0
1279	3026	405	Neat1	1.0
1279	3007	389	Neat1	1.0
1279	3031	410	Neat1	1.0
1279	3012	391	Neat1	1.0
1279	3027	393	Neat1	1.0
1279	3018	402	Neat1	1.0
1279	3033	429	Slc5a1	1.0
1279	2968	385	Marcksl1	1.0
1279	3039	446	Ccl9	1.0
1279	2966	376	Vim	1.0
1279	2984	394	Vim	1.0
1348	2229	109	Acta2	1.0
1348	2240	111	Acta2	1.0
1348	2266	112	Acta2	1.0
1348	2243	109	Acta2	1.0
1348	2268	114	Acta2	1.0
1348	2252	118	Acta2	1.0
1348	2253	110	Acta2	1.0
1348	2242	106	Cspg4	1.0
1348	2254	107	Cd3e	1.0
1279	2971	377	Tbx21	1.0
1279	2965	401	Cd34	1.0
1279	2971	385	Cd34	1.0
1279	2966	401	Cd34	1.0
1279	2974	387	Cd34	1.0
1279	2995	397	Kit	1.0
1279	3021	418	Kit	1.0
1279	3033	409	Tnfrsf21	1.0
1279	2983	383	Lpar1	1.0
1348	2267	106	Ptger3	1.0
1279	2968	374	Fzd1	1.0
1279	2981	391	Fzd1	1.0
1279	2991	385	Fzd1	1.0
1279	3026	388	Fzd9	1.0
1348	2250	113	Chrm2	1.0
1279	3028	403	Chrm3	1.0
1348	2240	114	Adra2b	1.0
1279	3042	436	Hrh1	1.0
1279	3005	389	Taar3	1.0
1279	3014	418	Cckar	1.0
1484	4447	4611	Slc51a	1.0
1484	4459	4613	Slc51a	1.0
1561	5061	3967	Slc51a	1.0
1561	5003	3891	Slc51a	1.0
1561	5031	3886	Slc51a	1.0
1561	5040	3954	Slc51a	1.0
1561	5058	3961	Slc51a	1.0
1484	4461	4625	Slc51a	1.0
1561	4988	3898	Slc51a	1.0
1561	4987	3914	Slc51a	1.0
1561	4996	3897	Slc51a	1.0
1561	5002	3891	Slc51a	1.0
1561	5013	3884	Slc51a	1.0
1561	5019	3908	Slc51a	1.0
1561	5029	3896	Slc51a	1.0
1561	5035	3970	Slc51a	1.0
1561	5042	3966	Slc51a	1.0
1561	5051	3934	Slc51a	1.0
1561	5052	3953	Slc51a	1.0
1561	5061	3948	Slc51a	1.0
1484	4458	4626	Slc51a	1.0
1484	4464	4608	Slc51a	1.0
1561	4986	3922	Slc51a	1.0
1561	4994	3896	Slc51a	1.0
1561	4999	3906	Slc51a	1.0
1561	5008	3868	Slc51a	1.0
1561	5009	3922	Slc51a	1.0
1561	5009	3875	Slc51a	1.0
1561	5010	3900	Slc51a	1.0
1561	5013	3905	Slc51a	1.0
1561	5025	3915	Slc51a	1.0
1561	5026	3877	Slc51a	1.0
1561	5042	3913	Slc51a	1.0
1561	5047	3905	Slc51a	1.0
1561	5052	3954	Slc51a	1.0
1561	5063	3937	Slc51a	1.0
1484	4454	4608	Slc51a	1.0
1484	4463	4598	Slc51a	1.0
1484	4479	4618	Slc51a	1.0
1561	5001	3875	Slc51a	1.0
1561	5000	3919	Slc51a	1.0
1561	5004	3879	Slc51a	1.0
1561	5011	3900	Slc51a	1.0
1561	5011	3919	Slc51a	1.0
1561	5013	3882	Slc51a	1.0
1561	5023	3931	Slc51a	1.0
1561	5024	3918	Slc51a	1.0
1561	5036	3927	Slc51a	1.0
1561	5038	3900	Slc51a	1.0
1561	5053	3948	Slc51a	1.0
1561	5058	3943	Slc51a	1.0
1484	4466	4602	Slc51a	1.0
1561	4987	3915	Slc51a	1.0
1561	5002	3958	Slc51a	1.0
1561	5007	3888	Slc51a	1.0
1561	5013	3953	Slc51a	1.0
1561	5014	3946	Slc51a	2.0
1561	5016	3914	Slc51a	1.0
1561	5016	3933	Slc51a	1.0
1561	5027	3917	Slc51a	1.0
1561	5032	3964	Slc51a	1.0
1561	5033	3923	Slc51a	1.0
1561	5048	3921	Slc51a	1.0
1561	4989	3895	Slc51a	1.0
1561	4991	3934	Slc51a	1.0
1561	4996	3944	Slc51a	1.0
1561	5002	3930	Slc51a	1.0
1561	5006	3952	Slc51a	1.0
1561	5014	3912	Slc51a	1.0
1561	5014	3946	Slc51a	2.0
1561	5025	3926	Slc51a	1.0
1561	5028	3944	Slc51a	1.0
1561	5031	3967	Slc51a	1.0
1561	5031	3936	Slc51a	1.0
1561	5049	3963	Slc51a	1.0
1561	5052	3951	Slc51a	1.0
1561	5070	3967	Slc51a	1.0
1484	4456	4623	Slc51a	1.0
1561	4988	3921	Slc51a	1.0
1561	5000	3946	Slc51a	1.0
1561	5017	3925	Slc51a	1.0
1561	5016	3939	Slc51a	1.0
1561	5017	3962	Slc51a	1.0
1561	5035	3949	Slc51a	1.0
1561	5046	3972	Slc51a	1.0
1561	5010	3884	Maoa	1.0
