CellID	x	y	geneID	MIDCount
319	3174	7253	Slc51a	1.0
319	3181	7257	Slc51a	1.0
319	3188	7269	Slc51a	1.0
323	3189	7354	Slc51a	1.0
323	3194	7348	Slc51a	1.0
319	3195	7250	Slc51a	1.0
323	3197	7362	Slc51a	1.0
319	3200	7303	Slc51a	1.0
323	3207	7371	Slc51a	1.0
323	3216	7357	Slc51a	1.0
319	3222	7300	Slc51a	1.0
357	3269	6419	Slc51a	1.0
358	3274	6430	Slc51a	1.0
357	3276	6403	Slc51a	1.0
357	3279	6331	Slc51a	1.0
357	3289	6396	Slc51a	1.0
358	3288	6437	Slc51a	1.0
357	3295	6411	Slc51a	1.0
357	3296	6337	Slc51a	1.0
357	3298	6385	Slc51a	1.0
367	3301	7227	Slc51a	1.0
358	3303	6441	Slc51a	1.0
357	3307	6352	Slc51a	1.0
357	3320	6398	Slc51a	1.0
436	3491	7209	Slc51a	1.0
440	3494	6635	Slc51a	1.0
441	3495	7021	Slc51a	1.0
441	3506	7025	Slc51a	1.0
441	3505	7007	Slc51a	1.0
441	3507	7013	Slc51a	1.0
441	3510	7009	Slc51a	1.0
441	3536	7037	Slc51a	1.0
436	3544	7242	Slc51a	1.0
441	3552	6998	Slc51a	1.0
441	3555	7017	Slc51a	1.0
441	3564	7008	Slc51a	1.0
441	3575	7016	Slc51a	1.0
441	3575	7005	Slc51a	1.0
500	3693	5884	Slc51a	1.0
501	3695	6790	Slc51a	1.0
501	3715	6798	Slc51a	1.0
511	3747	7099	Slc51a	1.0
511	3761	7093	Slc51a	1.0
537	2903	6201	Slc51a	1.0
537	2911	6198	Slc51a	1.0
539	2916	5929	Slc51a	1.0
540	2927	6334	Slc51a	1.0
540	2945	6366	Slc51a	1.0
539	2957	5882	Slc51a	1.0
254	3018	6186	Slc51a	1.0
548	3045	7380	Slc51a	1.0
548	3048	7368	Slc51a	1.0
319	3156	7244	Slc51a	1.0
319	3172	7251	Slc51a	1.0
319	3193	7265	Slc51a	1.0
319	3194	7271	Slc51a	1.0
319	3204	7268	Slc51a	1.0
323	3215	7356	Slc51a	1.0
323	3217	7370	Slc51a	1.0
323	3218	7378	Slc51a	2.0
323	3235	7352	Slc51a	1.0
319	3240	7232	Slc51a	1.0
319	3247	7263	Slc51a	1.0
319	3260	7250	Slc51a	1.0
357	3268	6419	Slc51a	1.0
357	3277	6413	Slc51a	1.0
357	3286	6382	Slc51a	1.0
357	3287	6395	Slc51a	1.0
358	3287	6457	Slc51a	1.0
367	3292	7238	Slc51a	1.0
367	3304	7231	Slc51a	1.0
357	3310	6405	Slc51a	1.0
357	3311	6328	Slc51a	1.0
357	3314	6392	Slc51a	1.0
357	3315	6386	Slc51a	1.0
441	3489	7009	Slc51a	1.0
441	3493	7020	Slc51a	1.0
441	3502	7012	Slc51a	1.0
440	3502	6645	Slc51a	1.0
441	3504	7024	Slc51a	1.0
441	3519	7011	Slc51a	1.0
441	3519	7003	Slc51a	1.0
441	3526	7012	Slc51a	1.0
441	3541	6992	Slc51a	1.0
441	3550	7063	Slc51a	1.0
441	3558	7024	Slc51a	1.0
441	3562	7011	Slc51a	1.0
500	3687	5895	Slc51a	1.0
501	3695	6794	Slc51a	1.0
501	3773	6774	Slc51a	1.0
537	2860	6228	Slc51a	1.0
600	2874	6789	Slc51a	1.0
600	2893	6781	Slc51a	1.0
537	2903	6144	Slc51a	1.0
540	2939	6355	Slc51a	1.0
539	2944	5929	Slc51a	1.0
548	3020	7342	Slc51a	1.0
548	3026	7328	Slc51a	1.0
548	3038	7340	Slc51a	1.0
548	3048	7388	Slc51a	1.0
548	3048	7357	Slc51a	1.0
319	3187	7258	Slc51a	1.0
319	3195	7257	Slc51a	1.0
319	3202	7271	Slc51a	1.0
319	3207	7265	Slc51a	1.0
323	3215	7391	Slc51a	1.0
323	3221	7375	Slc51a	1.0
319	3228	7273	Slc51a	1.0
358	3245	6435	Slc51a	1.0
319	3251	7244	Slc51a	1.0
358	3281	6456	Slc51a	2.0
357	3284	6332	Slc51a	1.0
357	3284	6417	Slc51a	1.0
358	3284	6443	Slc51a	1.0
358	3289	6456	Slc51a	1.0
357	3296	6402	Slc51a	1.0
358	3297	6445	Slc51a	1.0
357	3303	6396	Slc51a	1.0
357	3318	6333	Slc51a	1.0
440	3479	6649	Slc51a	1.0
436	3490	7208	Slc51a	1.0
440	3506	6631	Slc51a	1.0
441	3505	7032	Slc51a	1.0
440	3514	6629	Slc51a	1.0
441	3519	7043	Slc51a	1.0
441	3526	7020	Slc51a	1.0
440	3530	6648	Slc51a	1.0
441	3533	7035	Slc51a	1.0
441	3535	7019	Slc51a	1.0
436	3542	7254	Slc51a	1.0
441	3546	7029	Slc51a	2.0
441	3548	6991	Slc51a	1.0
441	3549	7063	Slc51a	1.0
441	3556	7012	Slc51a	1.0
441	3568	7006	Slc51a	1.0
441	3578	7017	Slc51a	1.0
480	3630	6809	Slc51a	1.0
617	3687	7362	Slc51a	1.0
617	3689	7366	Slc51a	1.0
617	3692	7397	Slc51a	1.0
617	3691	7418	Slc51a	1.0
500	3704	5881	Slc51a	1.0
501	3710	6788	Slc51a	1.0
501	3714	6800	Slc51a	1.0
500	3716	5882	Slc51a	1.0
501	3721	6783	Slc51a	1.0
501	3730	6812	Slc51a	1.0
501	3745	6800	Slc51a	1.0
511	3751	7099	Slc51a	1.0
501	3767	6751	Slc51a	1.0
600	2849	6785	Slc51a	1.0
537	2896	6140	Slc51a	1.0
537	2915	6142	Slc51a	1.0
540	2943	6368	Slc51a	1.0
548	3037	7337	Slc51a	1.0
548	3042	7362	Slc51a	1.0
319	3183	7245	Slc51a	1.0
323	3184	7362	Slc51a	1.0
319	3189	7256	Slc51a	1.0
323	3192	7378	Slc51a	1.0
323	3195	7378	Slc51a	1.0
319	3207	7257	Slc51a	1.0
323	3218	7378	Slc51a	2.0
323	3227	7362	Slc51a	1.0
319	3235	7243	Slc51a	1.0
358	3253	6452	Slc51a	1.0
358	3281	6456	Slc51a	2.0
357	3285	6392	Slc51a	1.0
357	3297	6340	Slc51a	1.0
357	3297	6402	Slc51a	1.0
357	3310	6351	Slc51a	1.0
357	3321	6335	Slc51a	1.0
440	3468	6649	Slc51a	1.0
440	3485	6648	Slc51a	1.0
441	3484	7037	Slc51a	1.0
440	3492	6619	Slc51a	1.0
440	3499	6632	Slc51a	1.0
440	3509	6653	Slc51a	1.0
441	3516	7039	Slc51a	1.0
441	3527	7010	Slc51a	1.0
441	3528	6998	Slc51a	1.0
441	3530	7036	Slc51a	1.0
436	3532	7220	Slc51a	1.0
441	3534	7031	Slc51a	1.0
441	3538	7055	Slc51a	1.0
441	3546	7029	Slc51a	2.0
441	3547	7038	Slc51a	1.0
441	3550	7008	Slc51a	1.0
441	3553	7016	Slc51a	1.0
441	3570	7008	Slc51a	1.0
480	3624	6809	Slc51a	1.0
617	3671	7410	Slc51a	1.0
617	3684	7433	Slc51a	1.0
617	3687	7400	Slc51a	1.0
617	3689	7413	Slc51a	1.0
617	3691	7422	Slc51a	1.0
501	3726	6785	Slc51a	1.0
501	3732	6814	Slc51a	1.0
501	3745	6767	Slc51a	1.0
537	2878	6196	Slc51a	1.0
254	3023	6188	Slc51a	1.0
254	3031	6183	Slc51a	1.0
319	3185	7246	Slc51a	1.0
319	3203	7245	Slc51a	1.0
319	3213	7271	Slc51a	1.0
319	3217	7256	Slc51a	1.0
358	3252	6451	Slc51a	1.0
358	3294	6426	Slc51a	1.0
358	3298	6446	Slc51a	1.0
357	3307	6348	Slc51a	1.0
357	3311	6366	Slc51a	1.0
357	3329	6328	Slc51a	1.0
440	3459	6638	Slc51a	1.0
436	3479	7202	Slc51a	1.0
440	3485	6622	Slc51a	1.0
440	3486	6652	Slc51a	1.0
441	3492	7018	Slc51a	1.0
440	3499	6619	Slc51a	1.0
440	3501	6645	Slc51a	1.0
441	3506	7033	Slc51a	1.0
436	3511	7216	Slc51a	1.0
436	3513	7204	Slc51a	1.0
440	3518	6646	Slc51a	1.0
441	3519	7028	Slc51a	1.0
440	3524	6645	Slc51a	1.0
441	3530	7010	Slc51a	1.0
436	3532	7222	Slc51a	1.0
441	3538	7038	Slc51a	1.0
441	3541	7055	Slc51a	1.0
436	3540	7249	Slc51a	1.0
441	3547	7013	Slc51a	1.0
441	3558	7017	Slc51a	1.0
441	3565	7035	Slc51a	1.0
441	3569	7004	Slc51a	1.0
617	3672	7421	Slc51a	1.0
617	3685	7408	Slc51a	1.0
501	3711	6802	Slc51a	1.0
501	3718	6788	Slc51a	1.0
501	3720	6772	Slc51a	1.0
500	3723	5886	Slc51a	2.0
501	3735	6808	Slc51a	1.0
501	3742	6789	Slc51a	1.0
501	3746	6785	Slc51a	1.0
511	3773	7101	Slc51a	1.0
655	2373	6576	Slc51a	1.0
537	2882	6212	Slc51a	1.0
