CellID	x	y	geneID	MIDCount
13	1515	1859	Maoa	1.0
14	1737	1171	Maoa	1.0
14	1775	1195	Maoa	1.0
14	1781	1101	Maoa	1.0
14	1788	1198	Maoa	1.0
13	1559	1832	Txndc5	1.0
13	1511	1865	Txndc5	1.0
14	1715	1191	Txndc5	1.0
14	1777	1151	Txndc5	1.0
13	1524	1840	Txndc5	1.0
14	1830	1110	Txndc5	1.0
14	1791	1107	Txndc5	1.0
14	1797	1144	Txndc5	1.0
28	1902	928	Slc12a2	1.0
13	1558	1878	Slc12a2	1.0
14	1794	1144	Slc12a2	1.0
14	1743	1186	Slc12a2	1.0
13	1539	1829	Krt7	1.0
13	1532	1906	Krt7	1.0
14	1801	1140	Tspan13	1.0
13	1515	1870	Tspan13	1.0
13	1540	1852	Tspan13	1.0
13	1530	1888	Tspan13	1.0
13	1521	1930	Tspan13	1.0
14	1813	1188	Tspan13	1.0
14	1784	1123	Sox4	1.0
14	1783	1123	Sox4	1.0
13	1581	1825	Sox4	1.0
13	1520	1849	Sox4	1.0
13	1518	1849	Sox4	1.0
28	1921	952	Hhex	1.0
14	1826	1115	Rgs4	1.0
14	1837	1103	Rgs4	1.0
14	1782	1193	Rgs4	1.0
28	1886	925	Rgs4	1.0
14	1806	1120	Cd44	1.0
28	1931	976	Cd44	1.0
14	1802	1136	Cd44	1.0
13	1534	1896	Cd44	1.0
28	1897	936	Cd44	1.0
14	1802	1178	Cd44	1.0
28	1873	946	Cd44	1.0
28	1896	939	Cd44	1.0
14	1780	1125	Etv1	1.0
14	1768	1159	Etv1	1.0
14	1784	1117	Etv1	1.0
13	1573	1846	Etv1	1.0
13	1540	1874	Adgrd1	1.0
13	1506	1923	Adgrd1	1.0
14	1742	1177	Adgrd1	1.0
14	1817	1175	Nt5e	1.0
14	1782	1124	Nt5e	1.0
14	1807	1139	Maged2	1.0
14	1789	1129	Maged2	1.0
13	1515	1870	Maged2	1.0
13	1532	1897	Maged2	1.0
28	1872	953	Maged2	1.0
14	1845	1139	Maged2	1.0
28	1897	918	Maged2	1.0
28	1914	955	Maged2	1.0
14	1844	1140	Maged2	1.0
28	1913	956	Maged2	1.0
14	1804	1125	Acsl1	1.0
