CellID	x	y	geneID	MIDCount
83	937	5705	Maoa	1.0
115	1874	7203	Cps1	1.0
115	1883	7185	Cps1	1.0
115	1923	7189	Cps1	1.0
122	1831	7049	Cps1	1.0
122	1815	7052	Cps1	1.0
122	1824	7044	Cps1	1.0
122	1832	7049	Cps1	1.0
122	1842	7050	Cps1	1.0
122	1775	7033	Cps1	1.0
122	1796	7036	Cps1	1.0
115	1903	7180	Cps1	1.0
122	1762	7053	Cps1	1.0
122	1786	7038	Cps1	1.0
122	1835	7034	Cps1	1.0
122	1838	7055	Cps1	1.0
115	1885	7184	Cps1	1.0
122	1772	7059	Cps1	1.0
122	1777	7071	Cps1	1.0
115	1877	7164	Cps1	1.0
122	1778	7086	Cps1	1.0
122	1794	7089	Cps1	1.0
124	976	7127	Txndc5	1.0
122	1703	7006	Txndc5	1.0
122	1723	6993	Txndc5	1.0
122	1732	7002	Txndc5	1.0
122	1800	7078	Txndc5	1.0
115	1841	7144	Txndc5	1.0
115	1858	7104	Txndc5	1.0
124	985	7125	Txndc5	1.0
124	1015	7153	Txndc5	1.0
122	1707	6999	Txndc5	1.0
122	1725	6991	Txndc5	1.0
122	1793	7051	Txndc5	1.0
122	1795	7038	Txndc5	1.0
122	1814	7057	Txndc5	1.0
115	1826	7113	Txndc5	1.0
115	1881	7174	Txndc5	1.0
83	996	5707	Txndc5	1.0
124	1008	7118	Txndc5	1.0
122	1742	6994	Txndc5	1.0
122	1765	7045	Txndc5	1.0
122	1806	7053	Txndc5	1.0
115	1810	7154	Txndc5	1.0
115	1824	7114	Txndc5	1.0
115	1856	7157	Txndc5	1.0
122	1716	6997	Txndc5	1.0
122	1742	7084	Txndc5	1.0
122	1758	7055	Txndc5	1.0
122	1805	7065	Txndc5	1.0
122	1778	7043	Txndc5	1.0
122	1786	7071	Txndc5	1.0
115	1832	7110	Txndc5	1.0
115	1834	7118	Txndc5	1.0
115	1921	7145	Txndc5	1.0
122	1751	7080	Txndc5	1.0
122	1769	7075	Txndc5	1.0
122	1775	7103	Txndc5	1.0
122	1779	7082	Txndc5	1.0
122	1794	7073	Txndc5	1.0
122	1812	7066	Txndc5	1.0
122	1816	7081	Txndc5	1.0
122	1822	7088	Txndc5	1.0
115	1834	7095	Txndc5	1.0
115	1901	7163	Txndc5	1.0
83	941	5696	Txndc5	1.0
122	1790	7088	Txndc5	1.0
122	1817	7083	Txndc5	1.0
115	1823	7094	Txndc5	1.0
122	1825	7082	Txndc5	1.0
115	1828	7130	Txndc5	1.0
83	927	5698	Txndc5	1.0
122	1766	7075	Txndc5	1.0
122	1814	7102	Txndc5	1.0
122	1760	7082	Klk1	1.0
115	1793	7171	Klk1	1.0
122	1824	7077	Klk1	1.0
122	1788	7083	Klk1	1.0
122	1813	7073	Klk1	1.0
115	1872	7208	Clca3b	1.0
115	1881	7193	Clca3b	1.0
115	1885	7161	Clca3b	1.0
115	1892	7175	Clca3b	1.0
115	1906	7192	Clca3b	1.0
115	1852	7172	Clca3b	1.0
115	1875	7162	Clca3b	1.0
115	1883	7169	Clca3b	1.0
115	1886	7183	Clca3b	1.0
115	1906	7187	Clca3b	1.0
115	1919	7188	Clca3b	1.0
122	1842	7044	Clca3b	1.0
122	1819	7038	Clca3b	1.0
122	1828	7055	Clca3b	1.0
122	1835	7039	Clca3b	1.0
122	1840	7068	Clca3b	1.0
115	1891	7185	Clca3b	1.0
115	1920	7177	Clca3b	1.0
122	1820	7049	Clca3b	1.0
122	1828	7062	Clca3b	1.0
122	1828	7045	Clca3b	1.0
122	1840	7076	Clca3b	1.0
122	1778	7025	Clca3b	1.0
122	1780	7039	Clca3b	1.0
122	1786	7052	Clca3b	1.0
122	1839	7034	Clca3b	1.0
115	1884	7167	Clca3b	1.0
115	1886	7188	Clca3b	1.0
115	1902	7187	Clca3b	1.0
115	1794	7171	Clca3b	1.0
115	1847	7088	Clca3b	1.0
115	1898	7196	Clca3b	1.0
122	1786	7031	Clca3b	1.0
122	1795	7034	Clca3b	1.0
122	1809	7076	Clca3b	1.0
122	1825	7086	Clca3b	1.0
122	1826	7056	Clca3b	1.0
115	1845	7089	Clca3b	1.0
115	1900	7191	Clca3b	1.0
122	1767	7032	Mptx2	1.0
122	1771	7043	Mptx2	1.0
122	1773	7020	Mptx2	1.0
122	1783	7099	Mptx2	1.0
122	1790	7051	Mptx2	1.0
122	1796	7097	Mptx2	1.0
122	1799	7050	Mptx2	1.0
122	1807	7042	Mptx2	1.0
122	1811	7068	Mptx2	1.0
115	1828	7156	Mptx2	1.0
122	1835	7050	Mptx2	1.0
122	1755	7042	Mptx2	1.0
122	1767	7007	Mptx2	1.0
122	1768	7012	Mptx2	1.0
122	1781	7034	Mptx2	1.0
122	1782	7042	Mptx2	1.0
122	1783	7047	Mptx2	1.0
115	1791	7159	Mptx2	1.0
122	1794	7036	Mptx2	1.0
122	1802	7036	Mptx2	1.0
122	1812	7080	Mptx2	1.0
122	1817	7034	Mptx2	1.0
122	1817	7054	Mptx2	1.0
122	1822	7046	Mptx2	1.0
115	1822	7112	Mptx2	1.0
122	1833	7042	Mptx2	1.0
115	1860	7158	Mptx2	1.0
115	1886	7202	Mptx2	1.0
122	1784	7032	Mptx2	1.0
122	1787	7038	Mptx2	1.0
122	1793	7049	Mptx2	1.0
122	1797	7037	Mptx2	1.0
122	1813	7039	Mptx2	1.0
122	1813	7056	Mptx2	1.0
122	1818	7048	Mptx2	1.0
115	1868	7175	Mptx2	1.0
122	1776	7049	Mptx2	1.0
122	1780	7038	Mptx2	1.0
122	1795	7065	Mptx2	1.0
122	1803	7056	Mptx2	1.0
115	1854	7175	Mptx2	1.0
122	1733	7082	Mptx2	1.0
122	1770	7092	Mptx2	1.0
122	1776	7059	Mptx2	1.0
122	1791	7039	Mptx2	1.0
122	1802	7045	Mptx2	1.0
122	1810	7105	Mptx2	1.0
122	1818	7076	Mptx2	1.0
115	1838	7118	Mptx2	1.0
115	1916	7170	Mptx2	1.0
115	1923	7186	Mptx2	1.0
122	1738	7091	Mptx2	1.0
122	1756	7069	Mptx2	1.0
122	1772	7056	Mptx2	1.0
122	1777	7079	Mptx2	1.0
122	1781	7069	Mptx2	1.0
122	1790	7093	Mptx2	1.0
122	1805	7074	Mptx2	1.0
115	1830	7120	Mptx2	1.0
115	1882	7191	Mptx2	1.0
115	1891	7197	Mptx2	1.0
122	1772	7057	Mptx2	1.0
115	1806	7129	Mptx2	1.0
115	1819	7116	Mptx2	1.0
115	1840	7111	Mptx2	1.0
122	1767	7091	Mptx2	1.0
115	1827	7093	Mptx2	1.0
115	1828	7103	Mptx2	1.0
122	1829	7066	Mptx2	1.0
122	1766	7091	Mptx2	1.0
122	1813	7065	Mptx2	1.0
122	1827	7066	Mptx2	1.0
115	1839	7213	Mptx2	1.0
115	1880	7141	Mptx2	1.0
115	1890	7201	Lgr5	1.0
122	1811	7105	Lgr5	1.0
115	1851	7158	Lgr5	1.0
115	1872	7163	Lgr5	1.0
115	1846	7165	Lgr5	1.0
115	1839	7187	Lgr5	1.0
115	1851	7195	Lgr5	1.0
115	1878	7158	Lgr5	1.0
122	1735	7086	Lgr5	1.0
115	1830	7170	Lgr5	1.0
115	1840	7143	Lgr5	1.0
122	1819	7090	Lgr5	1.0
115	1846	7128	Lgr5	1.0
115	1846	7178	Lgr5	1.0
124	956	7123	Slc12a2	1.0
122	1720	7060	Slc12a2	1.0
122	1784	7081	Slc12a2	1.0
122	1821	7035	Slc12a2	1.0
115	1886	7181	Slc12a2	1.0
115	1811	7175	Slc12a2	1.0
115	1845	7182	Slc12a2	1.0
115	1801	7147	Slc12a2	1.0
122	1833	7047	Slc12a2	1.0
115	1923	7179	Slc12a2	1.0
124	885	7170	Slc12a2	1.0
115	1821	7184	Slc12a2	1.0
