CellID	x	y	geneID	MIDCount
212	1129	5636	Tspan13	1.0
212	1195	5655	Tspan13	1.0
212	1133	5619	Sox4	1.0
215	1934	6758	Sox4	1.0
212	1119	5618	Net1	1.0
212	1106	5616	Neat1	1.0
212	1113	5614	Neat1	1.0
212	1111	5613	Neat1	2.0
212	1194	5627	Neat1	2.0
212	1111	5614	Neat1	1.0
212	1111	5613	Neat1	2.0
212	1182	5621	Neat1	1.0
212	1184	5629	Neat1	1.0
212	1186	5626	Neat1	1.0
212	1193	5654	Neat1	1.0
212	1194	5629	Neat1	1.0
212	1186	5654	Neat1	1.0
212	1194	5627	Neat1	2.0
212	1182	5641	Vim	1.0
212	1191	5655	Vim	1.0
212	1190	5655	Vim	1.0
212	1079	5625	Acta2	1.0
212	1089	5620	Acta2	1.0
212	1100	5641	Acta2	1.0
212	1117	5642	Acta2	1.0
212	1153	5642	Acta2	1.0
212	1168	5619	Acta2	1.0
212	1191	5640	Acta2	1.0
212	1199	5632	Acta2	1.0
212	1092	5626	Acta2	1.0
212	1111	5630	Acta2	1.0
212	1162	5640	Acta2	1.0
212	1192	5642	Acta2	1.0
212	1204	5643	Acta2	1.0
212	1202	5635	Acta2	1.0
212	1089	5624	Acta2	1.0
212	1100	5632	Acta2	1.0
212	1106	5638	Acta2	1.0
212	1140	5642	Acta2	1.0
212	1156	5658	Acta2	1.0
212	1166	5638	Acta2	1.0
212	1199	5644	Acta2	1.0
212	1100	5639	Acta2	1.0
212	1174	5639	Acta2	1.0
212	1179	5634	Acta2	1.0
212	1196	5648	Acta2	1.0
212	1072	5625	Acta2	1.0
212	1105	5638	Acta2	1.0
212	1114	5628	Acta2	1.0
212	1166	5639	Acta2	1.0
212	1193	5641	Acta2	1.0
212	1203	5639	Acta2	1.0
212	1062	5642	Acta2	1.0
215	1940	6784	C1qc	1.0
215	1937	6785	C1qc	1.0
212	1095	5615	Ffar3	1.0
212	1183	5661	Ltb4r1	1.0
212	1187	5655	Ltb4r1	1.0
215	1940	6748	Lpar1	1.0
212	1118	5617	Gpr87	1.0
212	1090	5648	Ptger3	1.0
212	1169	5619	Ptgfr	1.0
212	1187	5661	Ptgir	1.0
212	1140	5616	Fzd2	1.0
212	1188	5638	Fzd4	1.0
212	1161	5619	Smo	1.0
212	1086	5629	Chrm2	1.0
212	1198	5644	Chrm2	1.0
212	1199	5639	Chrm2	1.0
212	1204	5636	Chrm2	1.0
212	1137	5614	Adra2b	1.0
212	1136	5614	Adra2b	1.0
212	1110	5631	Galr2	1.0
212	1118	5619	Galr2	1.0
212	1156	5643	Galr2	1.0
253	2947	6160	Slc51a	1.0
279	3069	6199	Slc51a	1.0
284	3079	7443	Slc51a	1.0
285	3080	5696	Slc51a	1.0
288	3082	6221	Slc51a	1.0
284	3094	7431	Slc51a	1.0
294	3098	6984	Slc51a	1.0
285	3100	5699	Slc51a	1.0
285	3100	5728	Slc51a	1.0
284	3111	7429	Slc51a	1.0
294	3112	6996	Slc51a	1.0
300	3113	7148	Slc51a	1.0
284	3118	7422	Slc51a	1.0
300	3136	7139	Slc51a	1.0
288	3151	6248	Slc51a	1.0
300	3152	7106	Slc51a	1.0
288	3153	6215	Slc51a	1.0
288	3157	6242	Slc51a	1.0
317	3173	6161	Slc51a	1.0
320	3182	6445	Slc51a	1.0
330	3218	5788	Slc51a	1.0
336	3230	6456	Slc51a	1.0
354	3268	5731	Slc51a	1.0
355	3269	7389	Slc51a	1.0
356	3269	6194	Slc51a	1.0
356	3274	6221	Slc51a	1.0
355	3288	7399	Slc51a	1.0
354	3298	5706	Slc51a	1.0
354	3312	5711	Slc51a	1.0
356	3315	6188	Slc51a	1.0
354	3315	5699	Slc51a	1.0
