CellID	x	y	geneID	MIDCount
133	1686	6629	Txndc5	1.0
133	1702	6642	Txndc5	1.0
133	1713	6621	Txndc5	1.0
133	1690	6625	Txndc5	1.0
133	1700	6588	Txndc5	1.0
133	1702	6644	Txndc5	1.0
133	1713	6609	Txndc5	1.0
133	1729	6628	Txndc5	1.0
133	1702	6591	Txndc5	1.0
133	1713	6590	Txndc5	1.0
133	1707	6616	Txndc5	1.0
133	1709	6596	Txndc5	1.0
133	1712	6609	Txndc5	1.0
133	1687	6601	Txndc5	1.0
133	1727	6627	Txndc5	1.0
133	1695	6596	Txndc5	1.0
182	913	7231	Txndc5	1.0
133	1707	6615	Mptx2	1.0
182	896	7229	Tspan13	1.0
182	931	7274	Sox4	1.0
133	1703	6639	Cd44	1.0
133	1691	6593	Cd44	1.0
182	887	7232	Cnr1	1.0
182	916	7255	Net1	1.0
182	882	7220	Neat1	1.0
182	883	7235	Neat1	1.0
133	1716	6606	Neat1	1.0
133	1716	6596	Neat1	1.0
182	883	7227	Neat1	1.0
133	1692	6588	Neat1	1.0
133	1709	6583	Neat1	1.0
133	1709	6613	Neat1	1.0
133	1715	6597	Neat1	1.0
133	1715	6604	Neat1	1.0
133	1715	6618	Neat1	1.0
182	886	7222	Neat1	1.0
133	1672	6606	Neat1	1.0
133	1711	6627	Neat1	1.0
133	1722	6588	Neat1	1.0
133	1690	6607	Neat1	1.0
133	1715	6608	Neat1	1.0
182	889	7242	Slc5a1	1.0
133	1672	6633	Vim	1.0
133	1671	6623	Vim	1.0
133	1671	6633	Vim	1.0
133	1674	6625	Acta2	1.0
182	896	7223	Acta2	1.0
182	914	7266	Acta2	1.0
133	1667	6610	Acta2	1.0
133	1672	6619	Acta2	1.0
133	1676	6631	Acta2	1.0
182	890	7244	Acta2	1.0
182	893	7235	Acta2	1.0
182	905	7233	Acta2	1.0
182	916	7222	Acta2	1.0
182	930	7224	Acta2	1.0
133	1673	6631	Acta2	1.0
133	1673	6620	Acta2	1.0
182	892	7236	Acta2	1.0
182	908	7236	Acta2	1.0
182	910	7245	Acta2	1.0
182	919	7227	Acta2	1.0
133	1667	6614	Acta2	1.0
182	896	7236	Acta2	1.0
182	910	7239	Acta2	1.0
182	923	7231	Acta2	1.0
182	894	7223	Acta2	1.0
182	903	7221	Acta2	1.0
182	911	7236	Acta2	1.0
182	915	7251	Acta2	1.0
182	916	7242	Acta2	1.0
182	924	7229	Acta2	1.0
182	926	7226	Acta2	1.0
182	928	7274	Acta2	1.0
182	882	7239	Acta2	1.0
182	892	7221	Acta2	1.0
182	893	7243	Acta2	1.0
182	905	7224	Acta2	1.0
182	907	7248	Acta2	1.0
182	917	7227	Acta2	1.0
182	926	7228	Acta2	1.0
182	927	7248	Acta2	1.0
182	881	7222	Acta2	1.0
182	889	7228	Acta2	1.0
182	893	7222	Acta2	1.0
182	905	7221	Acta2	1.0
182	916	7228	Acta2	1.0
182	923	7249	Acta2	1.0
182	923	7256	Acta2	1.0
182	926	7223	Acta2	1.0
182	887	7228	Cspg4	1.0
133	1680	6634	Nes	2.0
133	1680	6634	Nes	2.0
182	925	7230	Cd4	1.0
133	1668	6620	Ifnar1	1.0
133	1699	6600	Ifnar1	1.0
133	1684	6627	Cd79a	1.0
133	1687	6620	Cd79a	1.0
133	1686	6607	Cd79a	1.0
133	1688	6608	Cd79a	1.0
133	1683	6599	Cd79b	1.0
133	1681	6598	Cd79b	1.0
133	1724	6627	Cd79b	1.0
133	1686	6613	Mzb1	1.0
133	1688	6622	Mzb1	1.0
133	1686	6616	Mzb1	1.0
133	1709	6612	Mzb1	1.0
133	1687	6602	Mzb1	1.0
133	1677	6607	Sdc1	1.0
133	1703	6638	Sdc1	1.0
133	1686	6605	Sdc1	1.0
133	1692	6584	Sdc1	1.0
182	887	7242	Cd34	1.0
133	1715	6639	Prf1	1.0
133	1677	6594	Ffar1	1.0
133	1719	6631	Gpr55	1.0
182	882	7234	S1pr2	1.0
133	1672	6622	S1pr3	1.0
133	1667	6614	S1pr3	1.0
133	1666	6625	Tbxa2r	1.0
182	901	7226	Tbxa2r	1.0
182	891	7227	Fzd3	1.0
182	897	7236	Fzd6	1.0
182	889	7244	Chrm2	1.0
182	922	7234	Chrm2	1.0
182	921	7238	Chrm2	1.0
182	889	7243	Chrm2	1.0
182	887	7244	Chrm2	1.0
182	890	7237	Chrm2	1.0
182	926	7236	Chrm2	1.0
182	897	7229	Chrm2	1.0
133	1715	6599	Hrh2	1.0
133	1711	6616	Cckar	1.0
259	2960	5977	Slc51a	1.0
316	3171	7414	Slc51a	1.0
316	3185	7416	Slc51a	1.0
316	3197	7427	Slc51a	1.0
316	3203	7423	Slc51a	1.0
453	3544	6581	Slc51a	1.0
453	3569	6585	Slc51a	1.0
453	3584	6615	Slc51a	1.0
453	3588	6626	Slc51a	1.0
453	3603	6618	Slc51a	1.0
453	3610	6606	Slc51a	1.0
478	3610	6553	Slc51a	1.0
478	3612	6537	Slc51a	1.0
453	3628	6617	Slc51a	1.0
562	3201	5784	Slc51a	1.0
453	3555	6569	Slc51a	1.0
453	3573	6636	Slc51a	1.0
453	3574	6554	Slc51a	1.0
