CellID	x	y	geneID	MIDCount
231	2788	6516	Slc51a	1.0
681	3314	7163	Slc51a	1.0
696	2638	6069	Maoa	1.0
696	2670	6080	Maoa	1.0
696	2697	6081	Maoa	1.0
696	2652	6079	Maoa	1.0
696	2635	6075	Hmgb2	1.0
696	2650	6066	Hmgb2	1.0
696	2704	6093	Hmgb2	1.0
696	2654	6080	Hmgb2	1.0
696	2655	6091	Hmgb2	1.0
696	2686	6082	Hmgb2	1.0
696	2630	6073	Hmgb2	1.0
696	2649	6100	Hmgb2	1.0
696	2603	6074	Cps1	1.0
696	2684	6083	Cps1	1.0
696	2601	6083	Cps1	1.0
696	2623	6065	Cps1	1.0
696	2657	6068	Cps1	1.0
696	2664	6082	Cps1	1.0
696	2619	6068	Cps1	1.0
696	2636	6063	Cps1	1.0
696	2644	6079	Cps1	1.0
696	2652	6071	Cps1	2.0
696	2619	6067	Cps1	1.0
696	2635	6065	Cps1	1.0
696	2635	6074	Cps1	1.0
696	2642	6063	Cps1	1.0
696	2652	6071	Cps1	2.0
696	2658	6082	Cps1	1.0
696	2623	6067	Cps1	1.0
696	2624	6068	Cps1	1.0
696	2690	6100	Cps1	1.0
696	2694	6097	Cps1	1.0
231	2770	6502	Cps1	2.0
231	2770	6502	Cps1	2.0
696	2587	6129	Txndc5	1.0
696	2591	6156	Txndc5	1.0
696	2597	6153	Txndc5	1.0
696	2697	6091	Txndc5	1.0
696	2603	6142	Txndc5	1.0
681	3302	7162	Txndc5	1.0
681	3321	7157	Txndc5	1.0
696	2592	6100	Txndc5	1.0
696	2599	6153	Txndc5	1.0
696	2600	6168	Txndc5	1.0
696	2702	6092	Txndc5	1.0
681	3300	7160	Txndc5	1.0
696	2593	6155	Txndc5	1.0
696	2619	6166	Txndc5	1.0
696	2631	6093	Txndc5	1.0
696	2692	6092	Txndc5	1.0
696	2599	6156	Txndc5	1.0
696	2618	6166	Txndc5	1.0
696	2631	6087	Txndc5	1.0
696	2684	6095	Txndc5	1.0
696	2692	6094	Txndc5	1.0
696	2653	6087	Txndc5	1.0
696	2660	6073	Txndc5	1.0
696	2685	6097	Txndc5	1.0
681	3316	7166	Txndc5	1.0
696	2689	6095	Txndc5	1.0
231	2769	6503	Txndc5	1.0
231	2791	6513	Txndc5	1.0
681	3316	7165	Txndc5	1.0
696	2694	6093	Txndc5	1.0
231	2794	6515	Txndc5	1.0
696	2702	6088	Txndc5	1.0
231	2784	6505	Txndc5	1.0
696	2664	6120	Klk1	1.0
696	2685	6095	Klk1	1.0
231	2810	6553	Klk1	1.0
696	2636	6062	Clca3b	1.0
696	2641	6057	Clca3b	1.0
696	2644	6059	Clca3b	1.0
231	2793	6531	Clca3b	1.0
696	2656	6068	Clca3b	1.0
231	2775	6506	Clca3b	1.0
696	2697	6098	Clca3b	1.0
231	2787	6508	Clca3b	1.0
681	3307	7165	Clca3b	1.0
231	2776	6504	Clca3b	1.0
696	2605	6074	Mptx2	1.0
696	2603	6115	Mptx2	1.0
696	2673	6146	Slc12a2	1.0
696	2645	6131	Slc12a2	1.0
696	2656	6143	Slc12a2	1.0
696	2637	6131	Slc12a2	1.0
696	2640	6134	Slc12a2	1.0
231	2814	6553	Slc12a2	1.0
696	2640	6192	Lrmp	1.0
681	3310	7156	Tm4sf4	1.0
681	3321	7162	Tm4sf4	1.0
696	2657	6073	Krt7	1.0
696	2687	6081	Krt7	1.0
696	2649	6140	Tspan13	1.0
681	3301	7163	Tspan13	1.0
696	2661	6090	Tspan13	1.0
696	2699	6092	Tspan13	1.0
696	2634	6176	Tspan13	1.0
231	2792	6513	Tspan13	1.0
696	2706	6140	Sox4	1.0
696	2590	6125	Hhex	1.0
696	2683	6127	Rgs4	1.0
696	2626	6120	Adgrf5	1.0
696	2706	6137	Adgrf5	1.0
696	2613	6106	Adgrf5	1.0
696	2664	6138	Cd44	1.0
696	2638	6124	Cd44	1.0
696	2641	6192	Cd44	1.0
231	2774	6503	Cd44	1.0
696	2687	6125	Etv1	1.0
696	2648	6134	Maged2	1.0
681	3309	7164	Apob	1.0
696	2691	6093	Net1	1.0
696	2663	6068	Net1	1.0
696	2674	6086	Net1	1.0
696	2683	6074	Net1	1.0
696	2670	6085	Net1	1.0
696	2675	6090	Net1	1.0
696	2676	6071	Net1	1.0
696	2702	6105	Net1	1.0
696	2597	6172	Net1	1.0
696	2602	6137	Neat1	1.0
696	2674	6125	Neat1	1.0
231	2798	6525	Neat1	1.0
696	2641	6174	Neat1	1.0
696	2686	6094	Neat1	1.0
231	2774	6506	Neat1	1.0
681	3321	7168	Neat1	1.0
696	2624	6159	Neat1	1.0
231	2777	6512	Neat1	1.0
231	2806	6544	Neat1	1.0
681	3308	7159	Neat1	1.0
231	2784	6517	Neat1	1.0
231	2797	6540	Neat1	1.0
231	2803	6531	Neat1	1.0
681	3323	7167	Neat1	1.0
231	2781	6515	Neat1	3.0
231	2781	6515	Neat1	3.0
231	2812	6562	Neat1	1.0
696	2603	6136	Neat1	1.0
696	2671	6066	Neat1	1.0
231	2781	6515	Neat1	3.0
696	2617	6140	Neat1	1.0
681	3315	7155	Neat1	1.0
696	2654	6072	Slc5a1	1.0
696	2676	6075	Slc5a1	1.0
231	2772	6501	Slc5a1	1.0
681	3302	7168	Slc5a1	1.0
696	2633	6060	Nlrp6	1.0
696	2593	6082	Nlrp6	1.0
696	2649	6070	Nlrp6	1.0
696	2695	6097	Nlrp6	1.0
231	2778	6503	Nlrp6	1.0
231	2781	6511	Nlrp6	1.0
696	2620	6063	Nlrp6	1.0
231	2777	6501	Nlrp6	1.0
231	2782	6508	Nlrp6	1.0
696	2706	6101	Nlrp6	1.0
231	2813	6548	Nlrp6	1.0
696	2646	6063	Mki67	1.0
